HJD mag emag
2455309.7589699 16.625 0.195
2455818.52390016 16.154 0.144
2456160.60001347 16.299 0.152
2456484.58745569 16.512 0.192
2456133.71639878 16.174 0.143
2456477.63061378 16.203 0.142
2456089.7007663 16.34 0.162
2456115.61282453 15.979 0.12
2456109.64102519 16.29 0.161
2456161.56627288 15.965 0.118
2456020.7677059 16.245 0.157
2456094.67810458 16.034 0.13
2456480.70307838 16.26 0.154
2456476.55561724 16.515 0.196
2455328.75649563 16.231 0.151
2456129.67719471 15.967 0.119
2456477.52743466 16.482 0.189
2456511.61833425 16.178 0.147
2456476.61999909 16.319 0.164
2456742.84715366 16.136 0.142
2456102.58549545 17.015 0.305
2456102.73475181 16.308 0.165
2456127.58678205 16.119 0.143
2456005.8355524 16.571 0.209
2456526.60220779 16.577 0.209
2457229.55223349 16.604 0.224
2456510.61628162 16.417 0.189
2457229.74547919 16.889 0.289
2456114.62605421 16.256 0.158
2456464.77626912 16.743 0.237
2455829.59314994 15.924 0.127
2456512.63053775 16.308 0.171
2455844.54941545 16.002 0.129
2456734.80947703 16.355 0.181
2456538.59069138 16.037 0.137
2456789.68879582 16.603 0.223
2456477.57984695 16.231 0.17
2456095.63274054 16.221 0.179
2456106.7700705 16.039 0.156
2456162.64197332 16.76 0.249
2456536.5384378 16.024 0.142
2456537.6098039 16.629 0.236
2456745.89754341 16.59 0.222
2456132.64440217 15.861 0.12
2456790.65793362 16.457 0.198
2456479.56274835 16.744 0.25
2456113.58834037 16.223 0.174
2456125.72347952 15.989 0.139
2455794.69893252 15.994 0.141
2456806.71366909 16.556 0.217
2455858.51018585 16.07 0.149
2456144.6836307 16.169 0.173
2456573.49646966 16.259 0.18
2457273.56285804 16.272 0.189
2457242.60842835 16.043 0.194
2456536.58374851 16.518 0.239
2456479.70592536 16.241 0.187
