HJD mag emag
2455309.7589699 16.29 0.15
2455818.52390016 15.927 0.119
2456160.60001347 16.345 0.16
2456484.58745569 15.857 0.108
2456133.71639878 16.205 0.144
2456477.63061378 15.656 0.088
2456089.7007663 16.025 0.123
2456115.61282453 15.985 0.118
2455434.65834223 16.054 0.141
2456161.56627288 16.272 0.157
2456020.7677059 15.853 0.111
2456094.67810458 15.886 0.111
2456480.70307838 16.135 0.139
2456476.55561724 16.188 0.149
2455328.75649563 15.982 0.125
2456129.67719471 15.857 0.11
2456477.52743466 16.05 0.129
2456511.61833425 16.041 0.133
2456476.61999909 15.969 0.121
2456742.84715366 16.329 0.168
2456102.58549545 16.161 0.145
2456102.73475181 16.14 0.146
2456127.58678205 16.009 0.128
2456005.8355524 16.346 0.173
2456526.60220779 16.392 0.181
2457229.55223349 15.878 0.118
2456510.61628162 16.17 0.156
2457229.74547919 16.051 0.144
2456464.77626912 16.373 0.174
2455829.59314994 16.208 0.163
2456512.63053775 15.992 0.133
2455844.54941545 16.277 0.169
2456734.80947703 15.903 0.121
2456538.59069138 16.405 0.19
2456789.68879582 16.272 0.173
2456477.57984695 16.287 0.173
2456106.7700705 16.317 0.188
2456536.5384378 16.363 0.187
2456537.6098039 16.212 0.166
2456745.89754341 16.183 0.16
2456132.64440217 16.229 0.16
2456790.65793362 15.827 0.116
2456479.56274835 16.431 0.197
2456125.72347952 16.534 0.215
2455794.69893252 16.277 0.179
2456806.71366909 16.029 0.139
2455858.51018585 16.323 0.186
2456144.6836307 16.233 0.178
2456573.49646966 16.35 0.195
2456804.7066316 15.748 0.193
2457225.505621 16.411 0.203
2457273.56285804 16.528 0.224
2456536.58374851 16.624 0.261
2456510.48315386 16.663 0.266
2456479.70592536 16.427 0.222
