HJD mag emag
2455309.7589699 15.85 0.098
2455818.52390016 15.681 0.096
2456484.58745569 14.941 0.048
2456133.71639878 15.26 0.062
2456477.63061378 14.529 0.032
2456089.7007663 15.359 0.069
2456115.61282453 15.381 0.07
2455434.65834223 15.9 0.112
2456161.56627288 14.655 0.037
2456020.7677059 15.772 0.103
2456480.70307838 15.624 0.087
2455328.75649563 15.842 0.109
2456129.67719471 15.337 0.068
2456511.61833425 15.642 0.093
2456476.61999909 14.724 0.04
2456742.84715366 15.232 0.063
2456102.73475181 15.174 0.06
2456127.58678205 15.068 0.056
2456005.8355524 15.833 0.111
2456526.60220779 15.623 0.092
2457229.74547919 15.9 0.125
2456114.62605421 15.762 0.104
2455829.59314994 15.737 0.11
2455844.54941545 15.967 0.13
2456734.80947703 15.759 0.109
2456538.59069138 15.584 0.093
2456789.68879582 15.793 0.114
2456106.7700705 15.821 0.119
2456536.5384378 15.599 0.095
2456537.6098039 15.796 0.115
2456745.89754341 15.345 0.075
2456132.64440217 15.357 0.074
2456790.65793362 15.384 0.079
2456479.56274835 15.861 0.118
2456113.58834037 15.53 0.088
2456125.72347952 15.969 0.134
2455794.69893252 15.843 0.123
2456806.71366909 16.017 0.15
2456144.6836307 15.684 0.109
2456573.49646966 15.726 0.111
2457225.505621 15.296 0.078
2455834.55712109 16.013 0.164
2456479.79998416 15.675 0.118
2456510.48315386 15.408 0.094
2456146.70396897 15.928 0.157
2456424.88940529 15.611 0.125
2456479.70592536 15.654 0.116
2456563.57868992 15.943 0.175
