HJD mag emag
2455309.7589699 13.454 0.011
2456160.60001347 13.382 0.011
2456484.58745569 13.381 0.012
2456477.63061378 13.333 0.011
2456115.61282453 13.325 0.011
2456094.67810458 12.927 0.01
2456480.70307838 13.339 0.011
2456477.52743466 12.969 0.01
2456476.61999909 13.273 0.011
2456742.84715366 12.958 0.01
2456102.58549545 12.952 0.01
2456005.8355524 12.943 0.01
2457229.55223349 12.953 0.01
2456510.61628162 12.949 0.01
2457229.74547919 12.995 0.01
2456512.63053775 13.375 0.012
2456734.80947703 13.315 0.012
2456538.59069138 13.357 0.012
2456095.63274054 12.935 0.01
2456537.6098039 13.347 0.012
