HJD mag emag
2455309.7589699 15.859 0.099
2455818.52390016 15.726 0.1
2456160.60001347 15.758 0.094
2456484.58745569 15.534 0.081
2456133.71639878 15.802 0.1
2456477.63061378 15.756 0.095
2456089.7007663 15.758 0.097
2456115.61282453 15.826 0.102
2455434.65834223 15.787 0.102
2456109.64102519 15.944 0.118
2456161.56627288 15.834 0.106
2456020.7677059 16.149 0.141
2456094.67810458 15.795 0.103
2456480.70307838 15.707 0.094
2456476.55561724 15.223 0.064
2455328.75649563 16.104 0.139
2456129.67719471 15.908 0.112
2456477.52743466 15.201 0.061
2456511.61833425 15.523 0.083
2456476.61999909 15.357 0.071
2456742.84715366 15.172 0.061
2456102.58549545 15.728 0.099
2456102.73475181 15.94 0.122
2456127.58678205 15.604 0.089
2456005.8355524 15.743 0.103
2456526.60220779 15.675 0.098
2457229.55223349 15.88 0.119
2456510.61628162 15.772 0.107
2457229.74547919 15.263 0.073
2456114.62605421 15.794 0.106
2456464.77626912 15.415 0.075
2455829.59314994 15.779 0.113
2456512.63053775 15.707 0.102
2455844.54941545 16.084 0.144
2456734.80947703 15.364 0.076
2456538.59069138 15.374 0.077
2456789.68879582 15.139 0.064
2456477.57984695 15.413 0.08
2456095.63274054 15.911 0.129
2456106.7700705 15.89 0.118
2456162.64197332 15.975 0.13
2456536.5384378 15.975 0.132
2456537.6098039 14.912 0.053
2456745.89754341 15.763 0.111
2456132.64440217 15.872 0.116
2456790.65793362 15.278 0.071
2456479.56274835 16.075 0.147
2456113.58834037 16.016 0.137
2456125.72347952 15.845 0.125
2455794.69893252 16 0.137
2456806.71366909 15.383 0.083
2455858.51018585 15.905 0.128
2456144.6836307 15.926 0.14
2456573.49646966 15.981 0.143
2456804.7066316 16.011 0.154
2457225.505621 16.076 0.152
2457273.56285804 15.563 0.1
2457242.60842835 16.217 0.22
2455834.55712109 16.17 0.207
2456479.79998416 15.242 0.08
2456536.58374851 15.373 0.095
2456510.48315386 15.127 0.074
2456146.70396897 16.09 0.167
2456424.88940529 15.92 0.163
2456479.70592536 15.945 0.139
2457272.58666747 15.437 0.107
2456563.57868992 16.09 0.193
