HJD mag emag
2455309.7589699 16.24 0.171
2455818.52390016 16.004 0.138
2456160.60001347 15.613 0.087
2456133.71639878 15.8 0.103
2456477.63061378 16.098 0.132
2456089.7007663 15.212 0.061
2456115.61282453 16.019 0.124
2455434.65834223 15.968 0.125
2456109.64102519 16.088 0.138
2456020.7677059 15.554 0.086
2456094.67810458 16.037 0.129
2456480.70307838 16.31 0.167
2456476.55561724 16.128 0.146
2455328.75649563 15.707 0.101
2456129.67719471 16.053 0.132
2456477.52743466 15.689 0.097
2456511.61833425 16.479 0.2
2456476.61999909 15.734 0.1
2456742.84715366 15.952 0.124
2456102.58549545 16.153 0.147
2456102.73475181 15.916 0.124
2456127.58678205 16.076 0.138
2456005.8355524 15.933 0.123
2456526.60220779 15.609 0.094
2457229.55223349 15.698 0.103
2456510.61628162 16.023 0.142
2457229.74547919 16.055 0.147
2456114.62605421 16.333 0.169
2456464.77626912 15.767 0.106
2456512.63053775 16.282 0.175
2456734.80947703 15.653 0.1
2456538.59069138 16.343 0.185
2456789.68879582 16.32 0.185
2456477.57984695 16.222 0.168
2456095.63274054 16.151 0.164
2456106.7700705 16.273 0.184
2456162.64197332 16.41 0.189
2456537.6098039 16.275 0.177
2456745.89754341 15.752 0.112
2456132.64440217 16.007 0.136
2456790.65793362 15.863 0.123
2456479.56274835 16.398 0.198
2456125.72347952 16.329 0.185
2456806.71366909 15.766 0.113
2456144.6836307 15.83 0.127
2456573.49646966 16.314 0.193
2457225.505621 16.299 0.188
2457273.56285804 15.884 0.133
2456536.58374851 16.18 0.187
2456510.48315386 16.36 0.211
2456479.70592536 17.015 0.369
