HJD mag emag
2455839.52441602 12.923 0.01
2456507.49557602 12.875 0.01
2456484.67874153 12.933 0.01
2456509.54330404 12.901 0.01
2455806.59149225 12.921 0.01
2456020.78712759 12.841 0.01
2456115.59726817 12.823 0.01
2457113.90829559 12.935 0.01
2456527.63701619 12.928 0.01
2456373.87737575 12.836 0.01
2456089.68388841 12.812 0.01
2455824.58287128 12.906 0.01
2456197.53362009 12.917 0.01
2456560.54846487 12.908 0.01
2456127.53466249 12.853 0.01
2456195.53998833 12.947 0.01
2456129.66305532 12.847 0.01
2456126.59386375 12.847 0.01
2456102.57052638 12.791 0.01
2455309.73733315 12.908 0.01
2456487.7077296 12.875 0.01
2456196.52480044 12.912 0.01
2456461.66384021 12.816 0.01
2457268.51535307 12.913 0.01
2456004.79832905 12.813 0.01
2457274.52131034 12.899 0.01
2456534.60024225 12.921 0.01
2456094.64573887 12.79 0.01
2456367.81714336 12.826 0.01
2456572.53104322 12.892 0.01
2456559.50081556 12.826 0.01
2456095.61755661 12.815 0.01
2456799.65187058 12.758 0.01
2457241.6781982 12.827 0.01
