idStar Pred CC EA EC LPV MIRA NOVA RCorB RRab typeIICep Sum per flag
1-6408 CC 1 0 0 0 0 0 0 0 0 1 1.0013074910969 NonS
1-6409 EC 0 0 1 0 0 0 0 0 0 1 8.32120291584653 NonS
1-6416 CC 1 0 0 0 0 0 0 0 0 1 6.45988121098612 NonS
1-6526 EC 0 0 1 0 0 0 0 0 0 1 1.472116857676 NonS
1-6548 RRab 0 0 0 0 0 0 0 1 0 1 0.996359237345163 NonS
1-6596 EC 0 0 1 0 0 0 0 0 0 1 6.27413382792262 NonS
1-6711 EC 0 0 1 0 0 0 0 0 0 1 1.2860536268106 NonS
1-6758 EC 0 0 1 0 0 0 0 0 0 1 1.04125338713668 NonS
1-6777 CC 1 0 0 0 0 0 0 0 0 1 1.00091941291528 Sig
1-6801 typeIICep 0 0 0 0 0 0 0 0 1 1 10.4457653624456 NonS
1-6813 RRab 0 0 0 0 0 0 0 1 0 1 0.597010730500495 NonS
1-6849 CC 1 0 0 0 0 0 0 0 0 1 1.04680377832611 NonS
1-7103 RRab 0 0 0 0 0 0 0 1 0 1 0.240455967691904 Sig
1-7120 EC 0 0 1 0 0 0 0 0 0 1 11.5517875772928 NonS
1-7173 CC 1 0 0 0 0 0 0 0 0 1 9.0916846673138 NonS
1-7386 RRab 0 0 0 0 0 0 0 1 0 1 0.986632327486944 OverS
1-7408 EC 0 0 1 0 0 0 0 0 0 1 1.90936546456223 NonS
1-7677 RRab 0 0 0 0 0 0 0 1 0 1 0.169366441409209 NonS
1-7712 CC 1 0 0 0 0 0 0 0 0 1 1.00863065646625 NonS
1-7727 RRab 0 0 0 0 0 0 0 1 0 1 0.0565683541819508 NonS
1-7901 RRab 0 0 0 0 0 0 0 1 0 1 0.0271053731489798 OverS
1-7933 CC 1 0 0 0 0 0 0 0 0 1 1.14763090812289 NonS
1-7942 CC 1 0 0 0 0 0 0 0 0 1 8.76262364986594 NonS
1-7962 CC 1 0 0 0 0 0 0 0 0 1 1.00091941291528 NonS
1-8107 CC 1 0 0 0 0 0 0 0 0 1 1.10636838768438 Sig
1-8150 CC 1 0 0 0 0 0 0 0 0 1 17.5339632869623 NonS
1-8324 RRab 0 0 0 0 0 0 0 1 0 1 0.0326500721256219 NonS
1-8362 CC 1 0 0 0 0 0 0 0 0 1 23.9488279041437 NonS
1-8465 EC 0 0 1 0 0 0 0 0 0 1 178.527626194526 NonS
1-8489 EC 0 0 1 0 0 0 0 0 0 1 6.33485125206381 NonS
1-9011 CC 1 0 0 0 0 0 0 0 0 1 1.356880925293 NonS
1-9165 RRab 0 0 0 0 0 0 0 1 0 1 0.0767564767446067 NonS
1-9826 RRab 0 0 0 0 0 0 0 1 0 1 0.0234697093071448 NonS
1-9996 RRab 0 0 0 0 0 0 0 1 0 1 0.0593348003788797 NonS
1-10222 RRab 0 0 0 0 0 0 0 1 0 1 0.0299361748361231 NonS
1-10225 CC 1 0 0 0 0 0 0 0 0 1 11.6201413499395 NonS
