HJD mag emag
2455820.56199467 16.12 0.139
2456507.49557602 16.238 0.15
2456509.54330404 16.277 0.157
2455806.59149225 16.285 0.17
2456115.59726817 16.231 0.148
2457113.90829559 16.177 0.147
2456527.63701619 16.376 0.173
2456373.87737575 16.341 0.168
2456089.68388841 16.311 0.169
2455824.58287128 16.168 0.154
2456197.53362009 16.215 0.154
2456560.54846487 16.35 0.176
2456127.53466249 16.158 0.15
2456195.53998833 16.135 0.144
2456129.66305532 16.254 0.155
2456126.59386375 16.245 0.156
2455309.73733315 16.352 0.161
2456487.7077296 16.284 0.164
2456196.52480044 16.304 0.173
2456461.66384021 16.374 0.174
2455451.57393543 16.216 0.155
2457268.51535307 16.271 0.159
2456717.88975518 16.351 0.172
2456004.79832905 16.338 0.178
2457274.52131034 16.269 0.155
2456141.60817285 16.535 0.193
2456534.60024225 16.401 0.186
2456094.64573887 16.257 0.16
2456130.6919066 16.322 0.171
2456155.52380353 16.347 0.169
2456367.81714336 16.709 0.236
2456572.53104322 16.323 0.173
2456114.5817467 16.209 0.149
2456112.71944072 16.172 0.153
2456559.50081556 16.333 0.182
2456095.61755661 16.384 0.178
2456370.88031696 16.36 0.177
2456799.65187058 16.559 0.23
2456366.82812411 16.406 0.189
2457241.6781982 16.509 0.215
2456798.81227452 16.484 0.203
2455780.70154508 16.399 0.199
2456144.51074063 16.417 0.204
2456799.62756197 16.466 0.234
2457273.55282982 16.553 0.242
2456507.55927067 16.699 0.264
2456125.66009827 16.279 0.18
2456198.56201431 16.519 0.226
2456157.565304 16.543 0.23
