HJD mag emag
2455820.56199467 13.317 0.011
2455839.52441602 13.342 0.012
2456507.49557602 13.294 0.011
2456484.67874153 13.286 0.01
2456509.54330404 13.288 0.011
2455806.59149225 13.295 0.012
2456020.78712759 13.292 0.011
2456115.59726817 13.291 0.011
2456373.87737575 13.286 0.011
2455824.58287128 13.308 0.012
2456197.53362009 13.291 0.011
2456560.54846487 13.289 0.011
2456127.53466249 13.292 0.012
2456195.53998833 13.293 0.011
2456126.59386375 13.292 0.011
2455309.73733315 13.349 0.011
2456487.7077296 13.294 0.011
2456196.52480044 13.282 0.012
2456461.66384021 13.284 0.011
2455451.57393543 13.293 0.011
2457268.51535307 13.293 0.011
2456004.79832905 13.3 0.012
2457274.52131034 13.285 0.011
2456141.60817285 13.303 0.011
2456094.64573887 13.284 0.011
2456130.6919066 13.297 0.011
2456155.52380353 13.279 0.011
2456367.81714336 13.304 0.012
2456572.53104322 13.286 0.011
2456114.5817467 13.287 0.011
2456112.71944072 13.303 0.011
2456559.50081556 13.297 0.012
2456095.61755661 13.289 0.011
2456370.88031696 13.289 0.012
2456799.65187058 13.329 0.014
2456366.82812411 13.292 0.012
2457241.6781982 13.297 0.013
2456798.81227452 13.293 0.012
2455780.70154508 13.291 0.012
2456144.51074063 13.259 0.012
2456799.62756197 13.283 0.014
2455334.81554968 13.289 0.012
2457273.55282982 13.296 0.013
2457253.60681892 13.288 0.013
2455445.55984062 13.276 0.013
2456583.48652096 13.288 0.014
2456507.55927067 13.286 0.013
2456125.66009827 13.276 0.013
2456158.68093695 13.293 0.013
2456198.56201431 13.289 0.013
2456157.565304 13.308 0.013
2456365.82303491 13.262 0.02
2456157.67992577 13.223 0.018
