HJD mag emag
2456507.49557602 13.169 0.01
2456484.67874153 13.183 0.01
2456509.54330404 13.184 0.01
2455806.59149225 13.196 0.011
2456115.59726817 13.225 0.01
2457113.90829559 13.181 0.01
2456527.63701619 13.18 0.01
2456373.87737575 13.199 0.01
2456089.68388841 13.194 0.01
2456197.53362009 13.165 0.01
2456560.54846487 13.176 0.011
2456127.53466249 13.178 0.011
2456195.53998833 13.193 0.01
2456129.66305532 13.168 0.01
2456126.59386375 13.206 0.011
2456102.57052638 13.212 0.011
2456487.7077296 13.205 0.011
2456196.52480044 13.167 0.011
2456461.66384021 13.192 0.01
2457268.51535307 13.213 0.011
2456717.88975518 13.198 0.011
2457274.52131034 13.199 0.01
2456141.60817285 13.195 0.01
2456534.60024225 13.198 0.011
2456094.64573887 13.21 0.011
2456130.6919066 13.178 0.01
2456155.52380353 13.189 0.01
2456367.81714336 13.165 0.011
2456572.53104322 13.187 0.011
2456114.5817467 13.218 0.011
2456112.71944072 13.207 0.011
2456559.50081556 13.198 0.011
2456095.61755661 13.229 0.011
2456370.88031696 13.218 0.011
2456799.65187058 13.213 0.011
2456366.82812411 13.223 0.011
2457241.6781982 13.189 0.011
2455780.70154508 13.192 0.011
2456144.51074063 13.191 0.011
2456799.62756197 13.25 0.013
2457273.55282982 13.22 0.012
2457253.60681892 13.17 0.012
2456583.48652096 13.196 0.012
2456507.55927067 13.208 0.013
2456125.66009827 13.179 0.012
2456158.68093695 13.233 0.013
2455847.54621465 13.226 0.013
2456198.56201431 13.206 0.013
2456770.80960466 13.15 0.013
2456157.565304 13.173 0.011
2456365.82303491 13.175 0.015
2456157.67992577 13.307 0.019
