HJD mag emag
2456507.49557602 14.275 0.026
2456484.67874153 14.261 0.025
2456509.54330404 14.236 0.026
2455806.59149225 14.228 0.028
2456115.59726817 14.245 0.026
2457113.90829559 14.223 0.026
2456527.63701619 14.237 0.026
2456373.87737575 14.233 0.026
2456089.68388841 14.262 0.026
2456197.53362009 14.224 0.026
2456560.54846487 14.236 0.027
2456127.53466249 14.235 0.027
2456195.53998833 14.24 0.026
2456129.66305532 14.235 0.026
2456126.59386375 14.235 0.026
2456102.57052638 14.256 0.027
2456487.7077296 14.246 0.027
2456196.52480044 14.209 0.027
2456461.66384021 14.221 0.026
2457268.51535307 14.201 0.026
2456717.88975518 14.232 0.026
2457274.52131034 14.223 0.026
2456141.60817285 14.231 0.026
2456534.60024225 14.215 0.027
2456094.64573887 14.236 0.026
2456130.6919066 14.233 0.027
2456155.52380353 14.275 0.027
2456367.81714336 14.246 0.027
2456572.53104322 14.211 0.026
2456114.5817467 14.243 0.026
2456112.71944072 14.255 0.027
2456559.50081556 14.199 0.027
2456095.61755661 14.257 0.027
2456370.88031696 14.235 0.027
2456799.65187058 14.242 0.029
2456366.82812411 14.209 0.027
2457241.6781982 14.229 0.03
2456798.81227452 14.221 0.03
2455780.70154508 14.251 0.029
2456144.51074063 14.232 0.029
2456799.62756197 14.235 0.032
2457273.55282982 14.215 0.03
2457253.60681892 14.211 0.032
2456583.48652096 14.235 0.032
2456507.55927067 14.224 0.032
2456125.66009827 14.182 0.029
2456158.68093695 14.2 0.03
2455847.54621465 14.239 0.033
2456198.56201431 14.186 0.03
2456157.565304 14.175 0.029
