HJD mag emag
2456507.49557602 12.937 0.01
2456484.67874153 12.966 0.01
2456509.54330404 12.913 0.01
2455806.59149225 12.941 0.01
2456115.59726817 12.957 0.01
2457113.90829559 12.938 0.01
2456527.63701619 12.917 0.01
2456373.87737575 12.931 0.01
2456089.68388841 12.933 0.01
2456197.53362009 12.922 0.01
2456560.54846487 12.911 0.01
2456127.53466249 12.917 0.01
2456195.53998833 12.922 0.01
2456129.66305532 12.936 0.01
2456126.59386375 12.941 0.01
2456102.57052638 12.965 0.01
2456487.7077296 12.93 0.01
2456196.52480044 12.939 0.01
2456461.66384021 12.938 0.01
2457268.51535307 12.958 0.01
2457274.52131034 12.947 0.01
2456141.60817285 12.935 0.01
2456534.60024225 12.948 0.01
2456094.64573887 12.934 0.01
2456130.6919066 12.94 0.01
2456155.52380353 12.94 0.01
2456367.81714336 12.949 0.01
2456572.53104322 12.945 0.01
2456114.5817467 12.951 0.01
2456112.71944072 12.95 0.01
2456559.50081556 12.912 0.01
2456095.61755661 12.948 0.01
2456370.88031696 12.968 0.01
2456799.65187058 12.94 0.01
2456366.82812411 12.964 0.01
2457241.6781982 12.94 0.01
2455780.70154508 12.917 0.01
2456144.51074063 12.927 0.01
2456799.62756197 12.964 0.01
2457273.55282982 12.974 0.01
2457253.60681892 12.953 0.01
2456583.48652096 12.939 0.01
2456507.55927067 12.939 0.01
2456125.66009827 12.916 0.01
2455847.54621465 12.942 0.01
2456198.56201431 12.944 0.01
2456770.80960466 12.926 0.011
2456157.565304 12.914 0.01
2456779.9216732 13.032 0.014
2456128.67174937 12.936 0.01
2456365.82303491 12.821 0.011
2456157.67992577 13.069 0.015
