HJD mag emag
2455839.52441602 13.29 0.011
2456484.67874153 13.302 0.01
2456509.54330404 13.292 0.011
2456560.54846487 13.278 0.011
2456127.53466249 13.285 0.011
2456155.52380353 12.873 0.01
2456095.61755661 12.858 0.01
2456798.81227452 12.818 0.01
2455780.70154508 12.889 0.01
2456144.51074063 12.844 0.01
2456799.62756197 12.829 0.01
2455334.81554968 12.877 0.01
2457253.60681892 12.857 0.01
2455445.55984062 12.823 0.01
2456583.48652096 12.846 0.01
2456507.55927067 12.795 0.01
2456125.66009827 12.835 0.01
2456158.68093695 12.881 0.01
2455847.54621465 12.821 0.01
2456770.80960466 12.784 0.01
2456157.565304 12.858 0.01
2456422.9019975 12.824 0.01
2456128.67174937 12.845 0.01
