HJD mag emag
2455309.7589699 16.795 0.223
2455818.52390016 16.841 0.255
2456160.60001347 16.609 0.198
2456484.58745569 16.904 0.268
2456133.71639878 16.92 0.262
2456477.63061378 16.816 0.236
2456089.7007663 17.064 0.298
2456115.61282453 16.819 0.242
2455434.65834223 17.074 0.305
2456109.64102519 17.114 0.32
2456161.56627288 16.886 0.26
2456094.67810458 17.219 0.344
2456480.70307838 16.879 0.257
2456476.55561724 16.954 0.283
2455328.75649563 17.278 0.361
2456129.67719471 16.924 0.27
2456477.52743466 16.911 0.266
2456511.61833425 16.756 0.241
2456476.61999909 16.8 0.245
2456742.84715366 16.858 0.259
2456102.58549545 16.873 0.268
2456102.73475181 17.127 0.323
2456005.8355524 16.787 0.251
2457229.74547919 16.854 0.281
2456114.62605421 16.867 0.263
2456464.77626912 16.72 0.231
2455844.54941545 16.982 0.303
2456132.64440217 16.849 0.266
