HJD mag emag
2455309.7589699 16.102 0.123
2455818.52390016 16.076 0.132
2456133.71639878 16.246 0.145
2456089.7007663 16.073 0.124
2456115.61282453 16.077 0.125
2456109.64102519 16.156 0.139
2456161.56627288 16.128 0.134
2456094.67810458 16.116 0.133
2456476.55561724 16.119 0.137
2455328.75649563 16.098 0.134
2456129.67719471 16.112 0.133
2456477.52743466 16.044 0.125
2456511.61833425 16.149 0.143
2456742.84715366 16.104 0.134
2456102.58549545 16.067 0.13
2456102.73475181 16.133 0.138
2456127.58678205 16.062 0.133
2456005.8355524 16.119 0.138
2456526.60220779 16.121 0.14
2457229.55223349 16.137 0.147
2456510.61628162 16.103 0.141
2457229.74547919 16.102 0.147
2456114.62605421 16.17 0.141
2456464.77626912 16.126 0.136
2455829.59314994 16.167 0.155
2456512.63053775 16.102 0.14
2455844.54941545 16.102 0.141
2456734.80947703 16.15 0.148
2456538.59069138 16.023 0.133
2456789.68879582 16.209 0.159
2456477.57984695 16.257 0.164
2456095.63274054 16.241 0.174
2456106.7700705 16.335 0.192
2456162.64197332 16.314 0.17
2456536.5384378 16.263 0.163
2456537.6098039 16.23 0.163
2456745.89754341 16.247 0.164
2456132.64440217 16.261 0.159
2456790.65793362 16.247 0.164
2456113.58834037 16.359 0.182
2456125.72347952 16.354 0.182
2455794.69893252 16.318 0.181
2456144.6836307 16.454 0.211
2456573.49646966 16.216 0.169
2457225.505621 16.338 0.193
2457273.56285804 16.283 0.18
2457242.60842835 16.206 0.212
2455834.55712109 16.371 0.226
2456536.58374851 16.488 0.225
2456510.48315386 16.339 0.194
