HJD mag emag
2456160.60001347 15.601 0.081
2456484.58745569 15.534 0.079
2456477.63061378 15.781 0.094
2456089.7007663 15.677 0.09
2455434.65834223 15.945 0.117
2456109.64102519 15.806 0.103
2456161.56627288 15.672 0.09
2456094.67810458 15.788 0.101
2456127.58678205 15.658 0.094
2456526.60220779 15.829 0.107
2457229.55223349 15.671 0.099
2457229.74547919 15.875 0.121
2456114.62605421 15.866 0.111
2456464.77626912 15.868 0.112
2455829.59314994 16.047 0.138
2455844.54941545 15.952 0.123
2456095.63274054 15.701 0.096
2456745.89754341 15.853 0.116
2456132.64440217 15.75 0.104
2455794.69893252 16.03 0.135
2455858.51018585 16.009 0.137
2456804.7066316 15.723 0.108
2455834.55712109 16.107 0.166
2456479.79998416 16.026 0.158
2456146.70396897 15.971 0.14
2456424.88940529 16.004 0.149
2456563.57868992 16.093 0.177
