HJD mag emag
2455309.7589699 15.916 0.104
2456160.60001347 15.96 0.112
2456484.58745569 15.889 0.11
2456133.71639878 15.952 0.114
2456477.63061378 15.833 0.102
2456089.7007663 15.961 0.115
2456115.61282453 15.797 0.1
2455434.65834223 15.901 0.113
2456109.64102519 15.781 0.102
2456161.56627288 15.887 0.11
2456020.7677059 15.749 0.1
2456094.67810458 15.871 0.11
2456480.70307838 15.913 0.111
2456476.55561724 15.746 0.101
2455328.75649563 15.993 0.123
2456129.67719471 15.942 0.116
2456477.52743466 15.955 0.119
2456511.61833425 15.907 0.116
2456476.61999909 15.994 0.125
2456742.84715366 15.956 0.121
2456102.58549545 15.9 0.116
2456102.73475181 15.946 0.12
2456127.58678205 15.903 0.116
2456005.8355524 15.814 0.109
2456526.60220779 15.954 0.122
2457229.55223349 15.921 0.122
2456510.61628162 15.902 0.118
2457229.74547919 15.97 0.134
2456114.62605421 16.054 0.133
2456464.77626912 15.904 0.115
2455829.59314994 15.979 0.132
2456512.63053775 15.832 0.112
2455844.54941545 15.898 0.118
2456734.80947703 16.002 0.134
2456538.59069138 16.034 0.137
2456789.68879582 15.977 0.132
2456477.57984695 15.922 0.122
2456095.63274054 15.962 0.13
2456106.7700705 15.903 0.119
2456162.64197332 15.99 0.128
2456536.5384378 15.843 0.115
2456537.6098039 15.938 0.126
2456745.89754341 15.891 0.121
2456132.64440217 15.925 0.123
2456790.65793362 15.968 0.13
2456479.56274835 15.945 0.13
2456113.58834037 16.082 0.145
2456125.72347952 16.086 0.152
2455794.69893252 16.021 0.136
2456806.71366909 16.127 0.154
2455858.51018585 16.109 0.153
2456144.6836307 16.013 0.148
2456573.49646966 15.995 0.141
2456804.7066316 16.129 0.174
2457225.505621 15.911 0.128
2457273.56285804 16.035 0.147
2456479.79998416 16.301 0.192
2456536.58374851 16.297 0.207
2456510.48315386 16.265 0.195
2456146.70396897 16.246 0.19
2456479.70592536 16.157 0.163
2457272.58666747 16.328 0.223
