HJD mag emag
2455309.7589699 17.292 0.335
2456160.60001347 17.107 0.298
2456484.58745569 16.873 0.258
2456133.71639878 17.087 0.302
2456089.7007663 16.722 0.224
2456115.61282453 16.736 0.225
2455434.65834223 16.965 0.279
2456109.64102519 16.736 0.233
2456161.56627288 16.911 0.263
2456020.7677059 17.166 0.335
2456094.67810458 16.685 0.223
2456480.70307838 16.997 0.285
2456129.67719471 17.053 0.3
2456477.52743466 17.278 0.358
2456476.61999909 17.001 0.29
2456102.58549545 17.128 0.325
2456102.73475181 17.045 0.305
2456127.58678205 16.955 0.284
2456005.8355524 17.209 0.354
2456510.61628162 16.854 0.272
2456114.62605421 16.762 0.239
2456464.77626912 17.099 0.317
2456538.59069138 16.761 0.248
2456536.5384378 16.846 0.268
