HJD mag emag
2455309.7589699 16.34 0.149
2455818.52390016 16.665 0.218
2456160.60001347 16.852 0.236
2456484.58745569 16.997 0.278
2456133.71639878 16.944 0.26
2456477.63061378 16.49 0.175
2456089.7007663 16.466 0.174
2456115.61282453 16.783 0.227
2455434.65834223 16.661 0.214
2456109.64102519 16.632 0.207
2456161.56627288 16.844 0.246
2456020.7677059 16.639 0.211
2456094.67810458 16.598 0.201
2456480.70307838 16.803 0.233
2456476.55561724 17.025 0.291
2455328.75649563 16.576 0.202
2456129.67719471 16.666 0.212
2456477.52743466 16.737 0.227
2456511.61833425 16.848 0.254
2456476.61999909 17.067 0.31
2456742.84715366 16.673 0.218
2456102.58549545 16.532 0.195
2456102.73475181 16.716 0.223
2456127.58678205 16.566 0.203
2456005.8355524 16.546 0.201
2456526.60220779 17.064 0.305
2457229.55223349 16.822 0.261
2456510.61628162 16.855 0.264
2457229.74547919 16.751 0.254
2456114.62605421 16.735 0.235
2456464.77626912 16.66 0.219
2455829.59314994 16.998 0.309
2456512.63053775 16.758 0.245
2455844.54941545 16.656 0.225
2456734.80947703 16.96 0.296
2456538.59069138 16.754 0.247
2456789.68879582 16.836 0.27
2456477.57984695 16.61 0.212
2456095.63274054 16.425 0.178
2456106.7700705 16.676 0.224
2456162.64197332 16.845 0.265
2456536.5384378 16.992 0.302
2456537.6098039 16.724 0.245
2456745.89754341 16.937 0.29
2456132.64440217 16.907 0.277
2456790.65793362 16.916 0.284
2456479.56274835 16.755 0.262
2456113.58834037 16.725 0.242
2456125.72347952 16.897 0.296
2455794.69893252 16.618 0.223
2456806.71366909 16.927 0.299
2455858.51018585 17.008 0.312
2456144.6836307 16.842 0.291
2457225.505621 16.872 0.291
