HJD mag emag
2455309.7589699 15.15 0.054
2455818.52390016 15.118 0.057
2456160.60001347 15.056 0.05
2456484.58745569 15.387 0.07
2456133.71639878 14.96 0.047
2456477.63061378 15.218 0.059
2456089.7007663 15.035 0.05
2456115.61282453 14.969 0.047
2455434.65834223 15.434 0.075
2456109.64102519 15.165 0.059
2456161.56627288 14.992 0.05
2456020.7677059 15.044 0.053
2456094.67810458 15.428 0.074
2456480.70307838 14.975 0.048
2456476.55561724 15.846 0.109
2455328.75649563 15 0.052
2456129.67719471 14.994 0.05
2456477.52743466 15.044 0.053
2456511.61833425 15.014 0.052
2456742.84715366 14.995 0.051
2456102.58549545 15.673 0.093
2456102.73475181 15.517 0.082
2456127.58678205 15.172 0.061
2456005.8355524 15.245 0.065
2456526.60220779 15.113 0.058
2457229.55223349 15.001 0.054
2456510.61628162 15.07 0.058
2457229.74547919 14.969 0.055
2456114.62605421 15.009 0.051
2456464.77626912 14.969 0.05
2455829.59314994 15.019 0.056
2456512.63053775 14.97 0.053
2455844.54941545 14.998 0.054
2456734.80947703 14.987 0.054
2456538.59069138 15.055 0.057
2456789.68879582 15.011 0.055
2456477.57984695 15.091 0.059
2456095.63274054 15.015 0.057
2456106.7700705 15.014 0.056
2456162.64197332 15.047 0.057
2456536.5384378 15.05 0.057
2456537.6098039 14.935 0.052
2456745.89754341 15.076 0.06
2456132.64440217 15.05 0.056
2456790.65793362 14.962 0.053
2456479.56274835 15.016 0.059
2456113.58834037 14.933 0.053
2456125.72347952 15.046 0.059
2455794.69893252 15.18 0.067
2456806.71366909 14.992 0.054
2455858.51018585 15.07 0.061
2456144.6836307 15.103 0.067
2456573.49646966 15.392 0.085
2456804.7066316 14.953 0.074
2457225.505621 15.046 0.061
2456479.79998416 14.955 0.064
2456536.58374851 14.92 0.062
2456510.48315386 15 0.064
2456479.70592536 14.984 0.061
