HJD mag emag
2455309.7589699 15.162 0.054
2455818.52390016 15.176 0.061
2456160.60001347 15.14 0.055
2456484.58745569 15.111 0.056
2456133.71639878 15.071 0.053
2456477.63061378 15.133 0.055
2456089.7007663 15.1 0.054
2456115.61282453 15.098 0.054
2456109.64102519 15.092 0.056
2456020.7677059 15.156 0.06
2456094.67810458 15.113 0.056
2456480.70307838 15.14 0.057
2456476.55561724 15.212 0.063
2455328.75649563 15.123 0.057
2456129.67719471 15.093 0.055
2456477.52743466 15.171 0.059
2456511.61833425 15.14 0.059
2456476.61999909 15.088 0.055
2456742.84715366 15.11 0.057
2456102.58549545 15.109 0.057
2456102.73475181 15.106 0.057
2456127.58678205 15.101 0.057
2456005.8355524 15.149 0.06
2456526.60220779 15.15 0.06
2457229.55223349 15.137 0.061
2456510.61628162 15.163 0.063
2455829.59314994 15.272 0.071
2456512.63053775 15.135 0.061
2455844.54941545 15.178 0.064
2456734.80947703 15.181 0.064
2456538.59069138 15.181 0.064
2456789.68879582 15.206 0.067
2456477.57984695 15.149 0.064
2456106.7700705 15.203 0.073
2456536.5384378 15.195 0.065
2456745.89754341 15.216 0.067
2456790.65793362 15.24 0.07
2456479.56274835 15.15 0.063
2455794.69893252 15.198 0.07
2456806.71366909 15.151 0.064
2455858.51018585 15.165 0.067
2456144.6836307 15.223 0.074
2456573.49646966 15.17 0.07
2456804.7066316 15.165 0.116
2457242.60842835 15.143 0.086
