HJD mag emag
2455309.7589699 14.345 0.026
2455818.52390016 14.276 0.027
2456160.60001347 14.248 0.025
2456484.58745569 14.185 0.024
2456133.71639878 14.172 0.024
2456477.63061378 14.176 0.024
2456089.7007663 14.104 0.022
2456115.61282453 14.14 0.023
2455434.65834223 14.263 0.026
2456109.64102519 14.119 0.023
2456480.70307838 14.238 0.025
2456476.55561724 14.182 0.025
2456129.67719471 14.186 0.025
2456476.61999909 14.171 0.026
2456742.84715366 14.264 0.027
2456005.8355524 14.131 0.025
2457229.55223349 14.278 0.028
2456510.61628162 14.184 0.026
2457229.74547919 14.303 0.03
2456114.62605421 14.122 0.023
2456464.77626912 14.203 0.026
2455829.59314994 14.238 0.028
2455844.54941545 14.276 0.028
2456789.68879582 14.29 0.029
2456477.57984695 14.15 0.025
2456745.89754341 14.271 0.03
2456790.65793362 14.343 0.031
2455794.69893252 14.26 0.029
2456806.71366909 14.292 0.029
2455858.51018585 14.234 0.029
2457225.505621 14.244 0.03
2457242.60842835 14.396 0.042
