HJD mag emag
2456511.61833425 14.188 0.025
2456127.58678205 14.155 0.025
2456005.8355524 13.749 0.017
2456526.60220779 14.066 0.022
2456510.61628162 14.147 0.024
2456114.62605421 14.039 0.021
2456464.77626912 13.859 0.019
2455829.59314994 13.824 0.019
2455844.54941545 13.82 0.018
2456734.80947703 14.003 0.023
2456538.59069138 14.039 0.023
2456789.68879582 14.098 0.024
2456477.57984695 13.974 0.021
2456095.63274054 14.127 0.026
2456106.7700705 14.126 0.024
2456536.5384378 14.045 0.023
2456537.6098039 14.041 0.023
2456745.89754341 13.948 0.022
2456132.64440217 14.162 0.025
2456790.65793362 14.042 0.023
2456479.56274835 13.992 0.024
2456113.58834037 14.016 0.023
2456125.72347952 14.105 0.025
2455794.69893252 13.689 0.017
2456806.71366909 14.184 0.026
2455858.51018585 13.701 0.018
2456144.6836307 14.155 0.029
2456573.49646966 13.902 0.022
2456804.7066316 14.195 0.032
2457225.505621 14.661 0.043
2457273.56285804 14.724 0.05
2457242.60842835 14.71 0.057
2455834.55712109 13.86 0.023
2456479.79998416 13.969 0.025
2456536.58374851 14.016 0.029
2456510.48315386 14.137 0.03
2456146.70396897 14.135 0.032
2456424.88940529 13.815 0.024
2456479.70592536 14.006 0.025
2457272.58666747 14.64 0.054
2456563.57868992 13.88 0.025
