HJD mag emag
2456476.55561724 15.312 0.068
2456127.58678205 15.324 0.07
2456005.8355524 15.292 0.067
2457229.55223349 15.272 0.069
2457229.74547919 15.268 0.07
2455829.59314994 15.308 0.074
2455844.54941545 15.312 0.072
2456734.80947703 15.331 0.072
2456538.59069138 15.313 0.072
2456789.68879582 15.283 0.071
2456477.57984695 15.249 0.069
2456095.63274054 15.213 0.071
2456106.7700705 15.271 0.075
2456536.5384378 15.2 0.065
2456537.6098039 15.314 0.074
2456745.89754341 15.229 0.068
2456790.65793362 15.231 0.068
2456479.56274835 15.227 0.067
2456113.58834037 15.256 0.071
2456125.72347952 15.306 0.073
2455794.69893252 15.329 0.077
2456806.71366909 15.281 0.071
2455858.51018585 15.294 0.074
2456573.49646966 15.287 0.077
2457225.505621 15.294 0.077
2457273.56285804 15.248 0.073
2457242.60842835 15.08 0.082
2456536.58374851 15.311 0.082
2456510.48315386 15.213 0.074
