HJD mag emag
2456160.60001347 12.35 0.01
2456484.58745569 12.319 0.01
2456133.71639878 12.309 0.01
2456477.63061378 12.316 0.01
2456089.7007663 12.307 0.01
2456115.61282453 12.304 0.01
2456109.64102519 12.297 0.01
2456161.56627288 12.324 0.01
2456094.67810458 12.318 0.01
2456480.70307838 12.327 0.01
2456476.55561724 12.257 0.01
2456129.67719471 12.31 0.01
2456477.52743466 12.278 0.01
2456511.61833425 12.328 0.01
2456476.61999909 12.388 0.01
2456742.84715366 12.337 0.01
2456102.58549545 12.3 0.01
2456102.73475181 12.345 0.01
2456127.58678205 12.29 0.01
2456526.60220779 12.334 0.01
2457229.55223349 12.347 0.01
2456510.61628162 12.365 0.01
2457229.74547919 12.346 0.01
2456114.62605421 12.329 0.01
2456464.77626912 12.264 0.01
2455829.59314994 12.325 0.01
2456512.63053775 12.351 0.01
2456734.80947703 12.338 0.01
2456538.59069138 12.342 0.01
2456789.68879582 12.304 0.01
2456477.57984695 12.276 0.01
2456095.63274054 12.297 0.01
2456106.7700705 12.321 0.01
2456162.64197332 12.33 0.01
2456536.5384378 12.313 0.01
2456537.6098039 12.356 0.01
2456745.89754341 12.358 0.01
2456132.64440217 12.321 0.01
2456790.65793362 12.344 0.01
2456479.56274835 12.318 0.01
2456113.58834037 12.334 0.01
2456125.72347952 12.327 0.01
2455794.69893252 12.318 0.01
2456806.71366909 12.341 0.01
2455858.51018585 12.316 0.01
2456144.6836307 12.346 0.01
2456573.49646966 12.285 0.01
2456804.7066316 12.236 0.01
2457225.505621 12.344 0.01
2457273.56285804 12.316 0.01
2457242.60842835 12.879 0.012
2456479.79998416 12.256 0.01
2456510.48315386 12.258 0.01
2456146.70396897 12.301 0.01
2456424.88940529 12.109 0.01
2456479.70592536 12.268 0.01
2457272.58666747 12.363 0.01
2456563.57868992 12.303 0.01
2456514.70186303 12.339 0.013
