HJD mag emag
2455309.7589699 14.842 0.04
2455818.52390016 14.773 0.042
2456160.60001347 14.825 0.041
2456133.71639878 14.86 0.044
2456477.63061378 14.809 0.041
2456115.61282453 14.798 0.042
2456161.56627288 14.777 0.042
2456020.7677059 14.8 0.044
2456094.67810458 14.807 0.043
2456480.70307838 14.742 0.04
2456476.55561724 14.723 0.041
2455328.75649563 14.784 0.043
2456129.67719471 14.823 0.043
2456477.52743466 14.728 0.04
2456511.61833425 14.705 0.04
2456476.61999909 14.747 0.041
2456742.84715366 14.734 0.041
2456102.73475181 14.766 0.042
2456526.60220779 14.775 0.043
2456510.61628162 14.753 0.043
2457229.74547919 14.725 0.045
2456512.63053775 14.729 0.043
