HJD mag emag
2455309.7589699 15.513 0.074
2455818.52390016 15.383 0.073
2456160.60001347 15.387 0.068
2456484.58745569 15.464 0.075
2456133.71639878 15.403 0.07
2456477.63061378 15.492 0.075
2456089.7007663 15.435 0.072
2456115.61282453 15.418 0.071
2455434.65834223 15.428 0.075
2456109.64102519 15.455 0.076
2456161.56627288 15.503 0.079
2456020.7677059 15.357 0.07
2456094.67810458 15.378 0.07
2456480.70307838 15.495 0.077
2456476.55561724 15.475 0.079
2455328.75649563 15.485 0.08
2456129.67719471 15.435 0.074
2456477.52743466 15.463 0.076
2456511.61833425 15.452 0.077
2456476.61999909 15.485 0.083
2456742.84715366 15.434 0.076
2456102.58549545 15.441 0.076
2456102.73475181 15.44 0.078
2456127.58678205 15.439 0.077
2456005.8355524 15.379 0.075
2456526.60220779 15.497 0.083
2457229.55223349 15.472 0.084
2456510.61628162 15.509 0.085
2457229.74547919 15.433 0.085
2456114.62605421 15.39 0.071
2456464.77626912 15.455 0.078
2455829.59314994 15.446 0.085
2456512.63053775 15.5 0.086
2455844.54941545 15.392 0.079
2456734.80947703 15.537 0.088
2456538.59069138 15.535 0.088
2456789.68879582 15.503 0.087
2456477.57984695 15.434 0.08
2456095.63274054 15.401 0.081
2456106.7700705 15.442 0.08
2456162.64197332 15.444 0.083
2456536.5384378 15.462 0.083
2456537.6098039 15.46 0.086
2456745.89754341 15.483 0.089
2456132.64440217 15.499 0.085
2456790.65793362 15.474 0.084
2456479.56274835 15.521 0.095
2456113.58834037 15.447 0.083
2456125.72347952 15.444 0.086
2455794.69893252 15.398 0.082
2456806.71366909 15.515 0.087
2455858.51018585 15.416 0.085
2456144.6836307 15.31 0.083
2456573.49646966 15.502 0.096
2456804.7066316 15.596 0.11
2457225.505621 15.505 0.092
2457273.56285804 15.495 0.099
