HJD mag emag
2455818.52390016 13.777 0.017
2456160.60001347 13.784 0.016
2456484.58745569 13.747 0.016
2456133.71639878 13.782 0.016
2456477.63061378 13.771 0.016
2456089.7007663 13.775 0.016
2456115.61282453 13.759 0.016
2455434.65834223 13.769 0.017
2456109.64102519 13.764 0.017
2456161.56627288 13.76 0.016
2456020.7677059 13.766 0.017
2456094.67810458 13.784 0.017
2456480.70307838 13.765 0.017
2456476.55561724 13.762 0.017
2455328.75649563 13.754 0.017
2456129.67719471 13.746 0.016
2456477.52743466 13.734 0.016
2456511.61833425 13.758 0.017
2456476.61999909 13.756 0.017
2456742.84715366 13.738 0.016
2456102.58549545 13.74 0.017
2456102.73475181 13.719 0.017
2456127.58678205 13.747 0.017
2456005.8355524 13.748 0.017
2456526.60220779 13.774 0.018
2457229.55223349 13.72 0.017
2456510.61628162 13.719 0.017
2456114.62605421 13.723 0.016
2456464.77626912 13.707 0.016
2455829.59314994 13.747 0.018
2456512.63053775 13.739 0.017
2455844.54941545 13.725 0.018
2456734.80947703 13.688 0.017
2456538.59069138 13.737 0.018
2456789.68879582 13.68 0.017
2456477.57984695 13.693 0.017
2456095.63274054 13.713 0.018
2456162.64197332 13.708 0.017
2456536.5384378 13.709 0.017
2456537.6098039 13.734 0.019
2456745.89754341 13.686 0.017
2456132.64440217 13.693 0.016
2456790.65793362 13.673 0.017
2456479.56274835 13.681 0.017
2456144.6836307 13.673 0.018
2457273.56285804 13.686 0.019
