HJD mag emag
2455309.7589699 14.592 0.032
2455818.52390016 14.541 0.034
2456160.60001347 14.484 0.03
2456484.58745569 14.501 0.032
2456133.71639878 14.42 0.029
2456477.63061378 14.509 0.031
2456089.7007663 14.462 0.03
2456115.61282453 14.418 0.029
2455434.65834223 14.511 0.033
2456109.64102519 14.48 0.032
2456161.56627288 14.495 0.032
2456020.7677059 14.527 0.034
2456094.67810458 14.504 0.032
2456480.70307838 14.528 0.032
2456476.55561724 14.538 0.034
2455328.75649563 14.528 0.034
2456129.67719471 14.426 0.03
2456477.52743466 14.556 0.034
2456511.61833425 14.533 0.034
2456476.61999909 14.552 0.035
2456742.84715366 14.542 0.034
2456102.58549545 14.466 0.032
2456102.73475181 14.501 0.033
2456127.58678205 14.463 0.032
2456005.8355524 14.542 0.035
2456526.60220779 14.514 0.034
2457229.55223349 14.547 0.036
2456510.61628162 14.565 0.037
2457229.74547919 14.619 0.04
2456114.62605421 14.505 0.033
2456464.77626912 14.547 0.035
2455829.59314994 14.477 0.036
2456512.63053775 14.535 0.036
2455844.54941545 14.566 0.037
2456734.80947703 14.566 0.038
2456538.59069138 14.577 0.038
2456789.68879582 14.559 0.038
2456477.57984695 14.566 0.036
2456095.63274054 14.446 0.033
2456106.7700705 14.478 0.033
2456162.64197332 14.473 0.034
2456536.5384378 14.552 0.037
2456537.6098039 14.55 0.038
2456745.89754341 14.533 0.037
2456790.65793362 14.58 0.038
2456479.56274835 14.543 0.039
2456113.58834037 14.46 0.034
2456125.72347952 14.483 0.037
2455794.69893252 14.487 0.035
2456806.71366909 14.553 0.038
2456144.6836307 14.467 0.038
2456573.49646966 14.544 0.04
2456804.7066316 14.583 0.044
2457225.505621 14.562 0.039
2457273.56285804 14.564 0.041
2457242.60842835 14.689 0.055
2455834.55712109 14.568 0.047
2456479.79998416 14.585 0.045
2456536.58374851 14.564 0.046
2456510.48315386 14.557 0.044
2456146.70396897 14.477 0.04
2456424.88940529 14.578 0.047
2456479.70592536 14.557 0.042
2457272.58666747 14.521 0.047
