HJD mag emag
2455309.7589699 15.118 0.052
2455818.52390016 15.024 0.054
2456484.58745569 15.017 0.051
2456133.71639878 15.036 0.051
2456477.63061378 14.993 0.048
2456089.7007663 15.074 0.052
2456115.61282453 15.073 0.052
2455434.65834223 14.969 0.05
2456109.64102519 15.083 0.055
2456161.56627288 15.021 0.051
2456094.67810458 15.06 0.054
2456480.70307838 15.013 0.05
2456476.55561724 15.004 0.052
2455328.75649563 15.044 0.055
2456477.52743466 14.974 0.05
2456511.61833425 15.022 0.053
2456476.61999909 15.014 0.054
2456742.84715366 14.998 0.051
2456102.58549545 15.111 0.056
2456127.58678205 15.081 0.056
2456005.8355524 15.066 0.056
2456526.60220779 15.062 0.056
2457229.55223349 14.993 0.055
2456510.61628162 14.971 0.053
2457229.74547919 15.018 0.059
2456095.63274054 15.082 0.056
2456106.7700705 15.062 0.057
2456132.64440217 14.919 0.05
