HJD mag emag
2455309.7589699 15.141 0.053
2456160.60001347 15.02 0.049
2456484.58745569 15.053 0.053
2456133.71639878 15.045 0.051
2456477.63061378 15.049 0.051
2456089.7007663 15.025 0.05
2456115.61282453 15.049 0.051
2455434.65834223 15.066 0.055
2456109.64102519 15.099 0.056
2456161.56627288 15.081 0.054
2456020.7677059 15.145 0.058
2456094.67810458 15.057 0.053
2455328.75649563 15.109 0.058
2456511.61833425 15.104 0.057
2456102.58549545 15.055 0.054
2456127.58678205 15.073 0.055
2457229.55223349 15.126 0.061
2456510.61628162 15.111 0.059
2456114.62605421 15.061 0.055
2456464.77626912 15.089 0.055
2456095.63274054 15.075 0.059
2456106.7700705 15.071 0.058
2456132.64440217 15.069 0.057
2457242.60842835 15.318 0.1
