HJD mag emag
2455309.7589699 12.732 0.01
2455818.52390016 12.662 0.01
2456160.60001347 12.681 0.01
2456484.58745569 12.651 0.01
2456133.71639878 12.65 0.01
2456477.63061378 12.63 0.01
2456089.7007663 12.639 0.01
2456115.61282453 12.631 0.01
2455434.65834223 12.67 0.01
2456109.64102519 12.651 0.01
2456161.56627288 12.663 0.01
2456020.7677059 12.656 0.01
2456094.67810458 12.666 0.01
2456480.70307838 12.666 0.01
2456476.55561724 12.654 0.01
2455328.75649563 12.655 0.01
2456129.67719471 12.66 0.01
2456477.52743466 12.633 0.01
2456511.61833425 12.64 0.01
2456476.61999909 12.646 0.01
2456742.84715366 12.66 0.01
2456102.58549545 12.646 0.01
2456102.73475181 12.642 0.01
2456127.58678205 12.663 0.01
2456005.8355524 12.651 0.01
2456526.60220779 12.641 0.01
2457229.55223349 12.612 0.01
2456510.61628162 12.628 0.01
2457229.74547919 12.559 0.01
2456114.62605421 12.628 0.01
2456464.77626912 12.619 0.01
2455829.59314994 12.633 0.01
2456512.63053775 12.623 0.01
2455844.54941545 12.643 0.01
2456734.80947703 12.643 0.01
2456538.59069138 12.605 0.01
2456789.68879582 12.617 0.01
2456477.57984695 12.626 0.01
2456095.63274054 12.574 0.01
2456106.7700705 12.522 0.01
2456162.64197332 12.593 0.01
2456536.5384378 12.631 0.01
2456537.6098039 12.58 0.01
2456745.89754341 12.61 0.01
2456132.64440217 12.656 0.01
2456790.65793362 12.599 0.01
2456479.56274835 12.611 0.01
2456113.58834037 12.569 0.01
2456125.72347952 12.613 0.01
2455794.69893252 12.58 0.01
2456806.71366909 12.564 0.01
2456144.6836307 12.585 0.01
2456573.49646966 12.605 0.01
2456804.7066316 12.612 0.012
2457225.505621 12.562 0.01
2457273.56285804 12.587 0.01
2455834.55712109 12.467 0.01
2456536.58374851 12.515 0.01
