HJD mag emag
2455309.7589699 13.66 0.014
2455818.52390016 13.619 0.015
2456160.60001347 13.514 0.013
2456484.58745569 13.507 0.013
2456133.71639878 13.516 0.013
2456477.63061378 13.446 0.012
2456089.7007663 13.593 0.014
2455434.65834223 13.519 0.014
2456109.64102519 13.609 0.015
2456161.56627288 13.582 0.014
2456020.7677059 13.583 0.015
2456094.67810458 13.558 0.014
2456480.70307838 13.502 0.013
2456476.55561724 13.473 0.013
2455328.75649563 13.574 0.014
2456129.67719471 13.555 0.014
2456477.52743466 13.492 0.013
2456476.61999909 13.475 0.013
2456742.84715366 13.545 0.014
2456102.58549545 13.524 0.014
2456127.58678205 13.612 0.016
2457229.55223349 13.687 0.017
2456510.61628162 13.527 0.014
2456114.62605421 13.538 0.014
2456464.77626912 13.497 0.014
2455844.54941545 13.585 0.015
2456095.63274054 13.507 0.016
2456106.7700705 13.556 0.017
2456162.64197332 13.533 0.015
2456537.6098039 13.566 0.016
2456132.64440217 13.555 0.015
2456125.72347952 13.548 0.015
2455858.51018585 13.562 0.016
2456144.6836307 13.532 0.016
2456573.49646966 13.625 0.018
2456804.7066316 13.561 0.028
2457225.505621 13.569 0.017
2457273.56285804 13.571 0.017
2455834.55712109 13.567 0.021
2456479.79998416 13.514 0.018
2456146.70396897 13.616 0.022
2456424.88940529 13.655 0.029
2456479.70592536 13.533 0.019
2457272.58666747 13.665 0.023
2456563.57868992 13.59 0.024
2456514.70186303 13.699 0.031
