HJD mag emag
2455309.7589699 14.343 0.026
2455818.52390016 14.241 0.026
2456160.60001347 14.233 0.024
2456484.58745569 14.245 0.026
2456133.71639878 14.237 0.025
2456477.63061378 14.257 0.025
2456089.7007663 14.241 0.025
2456115.61282453 14.252 0.025
2455434.65834223 14.24 0.026
2456109.64102519 14.254 0.026
2456161.56627288 14.234 0.025
2456094.67810458 14.233 0.026
2456480.70307838 14.251 0.026
2456476.55561724 14.291 0.028
2456129.67719471 14.272 0.026
2456477.52743466 14.262 0.026
2456511.61833425 14.231 0.026
2456476.61999909 14.277 0.027
2456742.84715366 14.259 0.027
2456102.58549545 14.265 0.027
2456102.73475181 14.272 0.027
2456127.58678205 14.234 0.026
2456005.8355524 14.279 0.028
2456526.60220779 14.218 0.026
2457229.55223349 14.254 0.028
2456510.61628162 14.231 0.027
2457229.74547919 14.256 0.029
2456114.62605421 14.29 0.027
2455829.59314994 14.24 0.028
2456512.63053775 14.223 0.027
2455844.54941545 14.263 0.028
2456734.80947703 14.278 0.028
2456538.59069138 14.236 0.028
2456789.68879582 14.269 0.029
2456477.57984695 14.255 0.03
2456095.63274054 14.239 0.031
2456106.7700705 14.273 0.03
2456162.64197332 14.228 0.027
2456536.5384378 14.248 0.028
2456537.6098039 14.234 0.029
2456745.89754341 14.283 0.029
2456132.64440217 14.255 0.028
2456790.65793362 14.284 0.029
2456479.56274835 14.262 0.028
2456113.58834037 14.27 0.029
2456125.72347952 14.226 0.029
2455794.69893252 14.265 0.031
2456806.71366909 14.249 0.028
2455858.51018585 14.263 0.03
2456144.6836307 14.164 0.03
2456573.49646966 14.25 0.031
2456804.7066316 14.321 0.057
2457225.505621 14.284 0.031
2457273.56285804 14.215 0.029
2457242.60842835 14.093 0.033
2455834.55712109 14.155 0.034
2456479.79998416 14.179 0.035
2456536.58374851 14.228 0.031
2456510.48315386 14.269 0.032
2456146.70396897 14.267 0.037
2456479.70592536 14.211 0.031
