HJD mag emag
2455309.7589699 14.649 0.033
2455818.52390016 14.663 0.037
2456160.60001347 14.658 0.035
2456484.58745569 14.565 0.033
2456133.71639878 14.63 0.035
2455434.65834223 14.641 0.037
2456109.64102519 14.572 0.034
2456094.67810458 14.576 0.034
2456476.55561724 14.56 0.034
2456129.67719471 14.604 0.034
2456476.61999909 14.554 0.036
2456742.84715366 14.571 0.035
2456102.58549545 14.442 0.031
2456127.58678205 14.57 0.036
2456510.61628162 14.574 0.036
2457229.74547919 14.654 0.041
2456512.63053775 14.623 0.038
2456537.6098039 14.63 0.039
