HJD mag emag
2455309.7589699 14.903 0.043
2455818.52390016 14.834 0.044
2456160.60001347 14.884 0.043
2456484.58745569 14.953 0.048
2456133.71639878 14.905 0.046
2456477.63061378 14.875 0.044
2456089.7007663 14.907 0.046
2456115.61282453 14.945 0.047
2455434.65834223 14.854 0.045
2456109.64102519 14.918 0.048
2456161.56627288 14.97 0.049
2456020.7677059 14.865 0.046
2456094.67810458 14.872 0.046
2456480.70307838 14.931 0.047
2456476.55561724 14.904 0.048
2455328.75649563 14.912 0.048
2456129.67719471 14.89 0.046
2456477.52743466 14.957 0.05
2456511.61833425 14.943 0.049
2456476.61999909 14.914 0.051
2456742.84715366 14.979 0.051
2456102.58549545 14.946 0.051
2456102.73475181 14.958 0.051
2456127.58678205 14.838 0.046
2456005.8355524 14.922 0.05
2456526.60220779 14.896 0.048
2457229.55223349 14.987 0.054
2456510.61628162 14.978 0.053
2457229.74547919 14.998 0.057
2456114.62605421 14.87 0.047
2456464.77626912 14.905 0.048
2455829.59314994 14.917 0.052
2456512.63053775 14.937 0.051
2455844.54941545 14.893 0.049
2456734.80947703 14.977 0.055
2456538.59069138 14.942 0.051
2456789.68879582 15.005 0.055
2456477.57984695 14.997 0.054
2456095.63274054 14.928 0.053
2456106.7700705 14.88 0.049
2456162.64197332 14.952 0.053
2456536.5384378 15.027 0.056
2456537.6098039 14.952 0.053
2456745.89754341 14.953 0.055
2456132.64440217 14.907 0.051
2456790.65793362 14.971 0.054
2456479.56274835 14.993 0.059
2456113.58834037 14.92 0.054
2456125.72347952 14.958 0.055
2455794.69893252 14.873 0.052
2455858.51018585 14.914 0.054
2456573.49646966 15.012 0.061
2456804.7066316 15.027 0.066
2457225.505621 15.01 0.059
2457242.60842835 15.174 0.086
2455834.55712109 14.9 0.064
2456479.79998416 14.948 0.062
2456510.48315386 14.959 0.063
2456424.88940529 14.954 0.069
2456479.70592536 14.994 0.064
2456563.57868992 14.99 0.069
