HJD mag emag
2455309.7589699 13.387 0.016
2455818.52390016 13.345 0.012
2456160.60001347 13.342 0.013
2456484.58745569 13.393 0.019
2456133.71639878 13.32 0.012
2456089.7007663 13.341 0.016
2456115.61282453 13.352 0.016
2455434.65834223 13.309 0.011
2456161.56627288 13.344 0.014
2456020.7677059 13.315 0.013
2456480.70307838 13.38 0.014
2456476.55561724 13.409 0.02
2455328.75649563 13.397 0.014
2456129.67719471 13.331 0.013
2456477.52743466 13.323 0.02
2456511.61833425 13.351 0.015
2456476.61999909 13.387 0.019
2456742.84715366 13.384 0.017
2456102.58549545 13.348 0.018
2456102.73475181 13.384 0.015
2456005.8355524 13.415 0.015
2456526.60220779 13.356 0.014
2457229.55223349 13.386 0.019
2456510.61628162 13.381 0.016
2457229.74547919 13.375 0.015
2456464.77626912 13.345 0.014
2455829.59314994 13.371 0.014
2456512.63053775 13.336 0.014
2455844.54941545 13.37 0.013
2456734.80947703 13.335 0.019
2456538.59069138 13.321 0.014
2456789.68879582 13.378 0.019
2456477.57984695 13.42 0.02
2456095.63274054 13.386 0.019
2456106.7700705 13.337 0.013
2456162.64197332 13.35 0.014
2456536.5384378 13.34 0.015
2456537.6098039 13.36 0.014
2456132.64440217 13.356 0.014
2456790.65793362 13.362 0.021
2456479.56274835 13.333 0.021
2456113.58834037 13.363 0.02
2456125.72347952 13.319 0.015
2455794.69893252 13.335 0.014
2456806.71366909 13.39 0.019
2455858.51018585 13.377 0.015
2456144.6836307 13.334 0.015
2456573.49646966 13.338 0.014
2456804.7066316 13.425 0.02
2457225.505621 13.38 0.02
2457273.56285804 13.319 0.016
2457242.60842835 13.501 0.021
2455834.55712109 13.363 0.015
2456479.79998416 13.394 0.017
2456536.58374851 13.355 0.018
2456510.48315386 13.422 0.023
2456146.70396897 13.369 0.016
2456424.88940529 13.337 0.016
2456479.70592536 13.385 0.02
2457272.58666747 13.332 0.018
2456563.57868992 13.397 0.019
2456514.70186303 13.403 0.034
