HJD mag emag
2455309.7589699 12.917 0.014
2455818.52390016 12.913 0.019
2456160.60001347 12.794 0.01
2456484.58745569 12.848 0.01
2456477.63061378 12.84 0.01
2456089.7007663 12.843 0.01
2456115.61282453 12.83 0.01
2455434.65834223 12.727 0.015
2456109.64102519 12.837 0.01
2456020.7677059 12.815 0.012
2456094.67810458 12.826 0.01
2456476.55561724 12.847 0.01
2455328.75649563 12.824 0.01
2456477.52743466 12.843 0.01
2456476.61999909 12.837 0.01
2456742.84715366 12.888 0.01
2456102.58549545 12.846 0.01
2456102.73475181 12.865 0.01
2456127.58678205 12.826 0.01
2456005.8355524 12.844 0.013
2456526.60220779 12.823 0.01
2457229.55223349 12.824 0.01
2456510.61628162 12.896 0.01
2456114.62605421 12.846 0.01
2456789.68879582 12.846 0.01
2456477.57984695 12.928 0.011
2456095.63274054 12.897 0.01
2456106.7700705 12.898 0.01
2456162.64197332 12.871 0.01
2456745.89754341 12.838 0.01
2456479.56274835 12.893 0.012
2456113.58834037 12.878 0.01
2456806.71366909 12.837 0.01
2456144.6836307 12.819 0.01
2456573.49646966 12.814 0.01
2456804.7066316 12.833 0.01
2457225.505621 12.842 0.011
2457273.56285804 12.856 0.011
2457242.60842835 12.962 0.013
2456536.58374851 12.925 0.013
2456510.48315386 12.924 0.013
2456424.88940529 12.87 0.011
2457272.58666747 12.826 0.012
