HJD mag emag
2455309.7589699 12.732 0.01
2455818.52390016 12.584 0.015
2456160.60001347 12.643 0.01
2456484.58745569 12.677 0.01
2456133.71639878 12.591 0.01
2456477.63061378 12.636 0.01
2456089.7007663 12.617 0.01
2456115.61282453 12.658 0.01
2455434.65834223 12.638 0.014
2456109.64102519 12.641 0.01
2456161.56627288 12.658 0.01
2456020.7677059 12.695 0.01
2456094.67810458 12.641 0.01
2456480.70307838 12.671 0.01
2456476.55561724 12.642 0.01
2455328.75649563 12.691 0.01
2456477.52743466 12.694 0.01
2456511.61833425 12.646 0.01
2456476.61999909 12.719 0.011
2456742.84715366 12.659 0.01
2456102.58549545 12.609 0.01
2456102.73475181 12.674 0.01
2456127.58678205 12.637 0.01
2456005.8355524 12.675 0.011
2457229.55223349 12.702 0.01
2456510.61628162 12.674 0.01
2456114.62605421 12.639 0.01
2455844.54941545 12.69 0.016
2456734.80947703 12.663 0.01
2456789.68879582 12.685 0.01
2456095.63274054 12.677 0.01
2456162.64197332 12.629 0.01
2456536.5384378 12.658 0.01
2456745.89754341 12.675 0.01
2456790.65793362 12.649 0.01
2456479.56274835 12.641 0.012
2456113.58834037 12.662 0.011
2455794.69893252 12.662 0.01
2456806.71366909 12.701 0.01
2456144.6836307 12.617 0.01
2456804.7066316 12.67 0.01
2457225.505621 12.611 0.01
2457242.60842835 12.812 0.012
2455834.55712109 12.727 0.02
2456510.48315386 12.696 0.012
2456146.70396897 12.643 0.011
2456479.70592536 12.696 0.013
2456563.57868992 12.657 0.012
2456514.70186303 12.695 0.024
