HJD mag emag
2455309.7589699 15.663 0.083
2455818.52390016 15.707 0.096
2456160.60001347 15.656 0.086
2456484.58745569 15.585 0.084
2456133.71639878 15.644 0.087
2456477.63061378 15.561 0.08
2456089.7007663 15.587 0.083
2456115.61282453 15.575 0.082
2455434.65834223 15.612 0.087
2456109.64102519 15.562 0.084
2456161.56627288 15.562 0.083
2456020.7677059 15.67 0.093
2456094.67810458 15.561 0.083
2456480.70307838 15.574 0.083
2456476.55561724 15.622 0.09
2455328.75649563 15.506 0.08
2456129.67719471 15.624 0.087
2456477.52743466 15.607 0.087
2456511.61833425 15.609 0.089
2456476.61999909 15.624 0.092
2456742.84715366 15.618 0.089
2456102.58549545 15.656 0.092
2456102.73475181 15.562 0.085
2456127.58678205 15.607 0.09
2456005.8355524 15.62 0.091
2456526.60220779 15.64 0.092
2457229.55223349 15.621 0.094
2456510.61628162 15.62 0.093
2457229.74547919 15.583 0.094
2456114.62605421 15.618 0.089
2456464.77626912 15.735 0.098
2455829.59314994 15.675 0.1
2456512.63053775 15.676 0.098
2456734.80947703 15.614 0.094
2456538.59069138 15.625 0.093
2456789.68879582 15.633 0.096
2456477.57984695 15.55 0.088
2456095.63274054 15.585 0.095
2456162.64197332 15.57 0.09
2456537.6098039 15.552 0.09
2456745.89754341 15.619 0.096
2456790.65793362 15.61 0.094
2456113.58834037 15.59 0.094
2456125.72347952 15.58 0.095
2455794.69893252 15.523 0.089
2456806.71366909 15.641 0.096
2457225.505621 15.658 0.103
