HJD mag emag
2455309.7589699 16.228 0.137
2455818.52390016 16.067 0.133
2456160.60001347 15.913 0.108
2456484.58745569 16.431 0.177
2456133.71639878 15.836 0.104
2456477.63061378 16.287 0.152
2456089.7007663 15.736 0.095
2456115.61282453 15.927 0.112
2455434.65834223 16.066 0.13
2456109.64102519 16.117 0.137
2456161.56627288 16.399 0.171
2456020.7677059 15.816 0.107
2456094.67810458 15.726 0.098
2456480.70307838 16.065 0.128
2456476.55561724 16.1 0.137
2455328.75649563 16.086 0.134
2456129.67719471 15.926 0.115
2456477.52743466 15.891 0.113
2456511.61833425 15.989 0.125
2456476.61999909 15.777 0.107
2456742.84715366 15.888 0.114
2456102.58549545 15.787 0.105
2456102.73475181 15.922 0.117
2456127.58678205 15.849 0.111
2456005.8355524 15.766 0.105
2456526.60220779 16.001 0.128
2457229.55223349 16.129 0.147
2456510.61628162 15.827 0.112
2457229.74547919 15.979 0.135
2456114.62605421 16.332 0.17
2456464.77626912 16.101 0.138
2455829.59314994 15.842 0.117
2456512.63053775 15.881 0.118
2455844.54941545 16.069 0.137
2456734.80947703 16.725 0.248
2456538.59069138 15.809 0.113
2456789.68879582 16.049 0.141
2456477.57984695 16.091 0.14
2456095.63274054 15.766 0.106
2456106.7700705 15.975 0.128
2456162.64197332 16.363 0.18
2456536.5384378 15.993 0.132
2456537.6098039 16.385 0.186
2456745.89754341 16.033 0.138
2456132.64440217 16.208 0.159
2456790.65793362 15.838 0.116
2456479.56274835 15.901 0.129
2456113.58834037 15.994 0.135
2456125.72347952 16.009 0.142
2455794.69893252 16.14 0.151
2456806.71366909 16.068 0.146
2455858.51018585 15.917 0.128
2456144.6836307 15.839 0.128
2456573.49646966 16.383 0.196
2456804.7066316 16.463 0.216
2457225.505621 16.186 0.166
2457273.56285804 16.003 0.144
2457242.60842835 16.362 0.236
2455834.55712109 15.823 0.135
2456479.79998416 16.298 0.2
2456536.58374851 15.966 0.155
2456510.48315386 15.997 0.153
2456146.70396897 16.041 0.155
2456424.88940529 15.963 0.154
2456479.70592536 16.012 0.15
2457272.58666747 16.467 0.249
2456563.57868992 16.002 0.171
