HJD mag emag
2455309.7589699 15.987 0.11
2455818.52390016 15.92 0.115
2456160.60001347 16.002 0.117
2456484.58745569 16.047 0.127
2456133.71639878 16.121 0.132
2456477.63061378 16.072 0.126
2456089.7007663 16.136 0.133
2456115.61282453 15.744 0.096
2455434.65834223 16.009 0.123
2456109.64102519 16.242 0.151
2456161.56627288 16.159 0.141
2456020.7677059 16 0.124
2456094.67810458 16.063 0.129
2456480.70307838 15.779 0.099
2456476.55561724 16.027 0.128
2455328.75649563 16.059 0.131
2456129.67719471 15.969 0.118
2456477.52743466 16.041 0.129
2456511.61833425 15.929 0.118
2456476.61999909 15.868 0.12
2456742.84715366 16.101 0.136
2456102.58549545 15.909 0.116
2456102.73475181 15.97 0.122
2456127.58678205 16.125 0.142
2456005.8355524 16.053 0.134
2456526.60220779 16.075 0.135
2457229.55223349 15.962 0.127
2456510.61628162 15.953 0.124
2457229.74547919 16.184 0.158
2456114.62605421 16.263 0.154
2456464.77626912 16.094 0.135
2455829.59314994 16.183 0.157
2456512.63053775 16.077 0.141
2455844.54941545 16.132 0.144
2456734.80947703 16.376 0.183
2456538.59069138 16.081 0.139
2456789.68879582 16.226 0.161
2456477.57984695 16.115 0.144
2456095.63274054 16.213 0.164
2456106.7700705 16.05 0.134
2456162.64197332 16.244 0.164
2456536.5384378 16.231 0.16
2456537.6098039 16.265 0.167
2456745.89754341 16.368 0.186
2456132.64440217 16.292 0.167
2456790.65793362 16.298 0.17
2456479.56274835 16.294 0.186
2456113.58834037 16.389 0.188
2456125.72347952 16.323 0.182
2455794.69893252 16.261 0.168
2456806.71366909 16.029 0.135
2455858.51018585 16.264 0.172
2456144.6836307 16.462 0.22
2456573.49646966 16.356 0.194
2456804.7066316 16.02 0.159
2457225.505621 16.133 0.156
2457273.56285804 16.263 0.181
2455834.55712109 16.433 0.225
2456479.79998416 16.536 0.242
2456536.58374851 16.318 0.213
2456510.48315386 16.435 0.227
2456424.88940529 16.289 0.216
2456479.70592536 16.37 0.205
