HJD mag emag
2455309.7589699 15.843 0.099
2455818.52390016 15.838 0.109
2456160.60001347 15.743 0.094
2456484.58745569 15.927 0.115
2456133.71639878 15.848 0.105
2456477.63061378 15.85 0.104
2456089.7007663 15.81 0.101
2456115.61282453 15.906 0.11
2455434.65834223 15.895 0.112
2456109.64102519 15.763 0.101
2456161.56627288 15.885 0.111
2456020.7677059 15.685 0.095
2456094.67810458 15.859 0.11
2456480.70307838 15.84 0.104
2456476.55561724 15.943 0.12
2455328.75649563 15.76 0.101
2456129.67719471 15.842 0.107
2456477.52743466 15.931 0.117
2456511.61833425 15.904 0.116
2456476.61999909 15.991 0.131
2456742.84715366 15.787 0.105
2456102.58549545 15.935 0.118
2456102.73475181 16.005 0.128
2456127.58678205 15.884 0.114
2456005.8355524 15.82 0.108
2456526.60220779 15.912 0.118
2457229.55223349 15.863 0.116
2456510.61628162 16.047 0.136
2457229.74547919 15.964 0.132
2456114.62605421 15.837 0.108
2456464.77626912 15.928 0.118
2455829.59314994 16.118 0.15
2456512.63053775 16.041 0.137
2455844.54941545 15.882 0.119
2456734.80947703 16.03 0.137
2456538.59069138 15.964 0.128
2456789.68879582 16 0.133
2456477.57984695 15.924 0.122
2456095.63274054 15.984 0.134
2456106.7700705 15.873 0.115
2456162.64197332 15.953 0.129
2456536.5384378 15.945 0.125
2456537.6098039 15.965 0.131
2456745.89754341 16.09 0.15
2456132.64440217 15.924 0.122
2456790.65793362 15.978 0.132
2456479.56274835 16.197 0.172
2456113.58834037 15.988 0.134
2456125.72347952 15.999 0.141
2455794.69893252 16.064 0.147
2456806.71366909 16.013 0.134
2455858.51018585 16.118 0.152
2456144.6836307 16.283 0.191
2456573.49646966 16.081 0.157
2456804.7066316 15.886 0.14
2457225.505621 16.013 0.142
2457273.56285804 15.883 0.131
2455834.55712109 16.204 0.194
2456479.79998416 16.233 0.192
2456536.58374851 16.202 0.196
2456510.48315386 16.162 0.18
2456424.88940529 16.182 0.196
2456479.70592536 16.224 0.186
2457272.58666747 16.167 0.206
