HJD mag emag
2455309.7589699 16.182 0.134
2455818.52390016 16.331 0.166
2456160.60001347 16.5 0.179
2456484.58745569 16.397 0.173
2456133.71639878 16.318 0.16
2456477.63061378 16.339 0.159
2456089.7007663 16.343 0.161
2456115.61282453 16.419 0.173
2455434.65834223 16.214 0.15
2456109.64102519 16.674 0.221
2456161.56627288 16.422 0.174
2456020.7677059 16.261 0.159
2456094.67810458 16.393 0.175
2456480.70307838 16.308 0.16
2456476.55561724 16.122 0.14
2455328.75649563 16.312 0.163
2456129.67719471 16.302 0.161
2456477.52743466 16.447 0.182
2456511.61833425 16.315 0.165
2456476.61999909 16.504 0.19
2456742.84715366 16.37 0.172
2456102.58549545 16.458 0.191
2456102.73475181 16.364 0.173
2456127.58678205 16.511 0.199
2456005.8355524 16.348 0.173
2456526.60220779 16.566 0.205
2457229.55223349 16.458 0.196
2456510.61628162 16.442 0.192
2457229.74547919 16.52 0.213
2456114.62605421 16.666 0.222
2456464.77626912 16.632 0.214
2455829.59314994 16.537 0.211
2456512.63053775 16.48 0.197
2455844.54941545 16.551 0.207
2456734.80947703 16.638 0.229
2456538.59069138 16.548 0.211
2456789.68879582 16.543 0.212
2456477.57984695 16.893 0.289
2456095.63274054 16.768 0.275
2456162.64197332 16.551 0.209
2456536.5384378 16.617 0.23
2456537.6098039 16.42 0.197
2456745.89754341 16.567 0.218
2456132.64440217 16.444 0.196
2456790.65793362 16.629 0.229
2456479.56274835 16.453 0.197
2456113.58834037 16.808 0.279
2456125.72347952 16.355 0.187
2455794.69893252 16.837 0.282
2456806.71366909 16.686 0.242
2455858.51018585 16.72 0.258
2456144.6836307 16.494 0.223
2456573.49646966 16.604 0.238
2457225.505621 16.678 0.251
2457273.56285804 16.452 0.216
