HJD mag emag
2455309.7589699 16.311 0.148
2455818.52390016 16.162 0.144
2456160.60001347 16.084 0.126
2456484.58745569 16.113 0.136
2456133.71639878 16.142 0.137
2456477.63061378 16.058 0.125
2456089.7007663 16.077 0.129
2456115.61282453 16.214 0.145
2455434.65834223 16.182 0.145
2456109.64102519 16.092 0.135
2456161.56627288 16.207 0.145
2456020.7677059 16.101 0.138
2456094.67810458 16.216 0.15
2456480.70307838 16.123 0.137
2456476.55561724 16.152 0.145
2455328.75649563 16.488 0.189
2456129.67719471 16.242 0.152
2456477.52743466 16.215 0.149
2456511.61833425 16.094 0.138
2456476.61999909 16.169 0.144
2456742.84715366 16.189 0.148
2456102.58549545 16.127 0.141
2456102.73475181 16.17 0.146
2456127.58678205 16.092 0.138
2456005.8355524 16.2 0.154
2456526.60220779 16.188 0.15
2457229.55223349 16.212 0.158
2456510.61628162 16.221 0.16
2457229.74547919 16.216 0.164
2456114.62605421 16.295 0.16
2456464.77626912 16.224 0.153
2455829.59314994 16.169 0.155
2456512.63053775 16.282 0.167
2455844.54941545 16.339 0.173
2456734.80947703 16.353 0.18
2456538.59069138 16.301 0.169
2456789.68879582 16.585 0.224
2456477.57984695 16.384 0.184
2456095.63274054 16.445 0.212
2456106.7700705 16.63 0.252
2456162.64197332 16.435 0.19
2456536.5384378 16.249 0.163
2456537.6098039 16.418 0.193
2456745.89754341 16.362 0.184
2456132.64440217 16.393 0.182
2456790.65793362 16.419 0.195
2456479.56274835 16.496 0.203
2456113.58834037 16.684 0.244
2456125.72347952 16.329 0.178
2455858.51018585 16.609 0.232
2456144.6836307 16.529 0.223
2456573.49646966 16.466 0.21
2457225.505621 16.495 0.219
2457273.56285804 16.56 0.235
2457242.60842835 16.459 0.261
2456536.58374851 16.513 0.236
