HJD mag emag
2455309.7589699 16.293 0.148
2455818.52390016 16.117 0.139
2456160.60001347 16.269 0.149
2456484.58745569 16.195 0.145
2456133.71639878 16.311 0.156
2456477.63061378 16.251 0.147
2456089.7007663 16.229 0.146
2456115.61282453 16.273 0.151
2455434.65834223 16.287 0.16
2456109.64102519 16.267 0.157
2456161.56627288 16.38 0.169
2456020.7677059 16.142 0.142
2456094.67810458 16.094 0.133
2456480.70307838 16.289 0.157
2456476.55561724 16.232 0.154
2455328.75649563 16.283 0.161
2456129.67719471 16.304 0.159
2456477.52743466 16.363 0.167
2456511.61833425 16.314 0.166
2456476.61999909 16.303 0.16
2456742.84715366 16.298 0.163
2456102.58549545 16.228 0.153
2456102.73475181 16.21 0.153
2456127.58678205 16.227 0.153
2456005.8355524 16.211 0.153
2456526.60220779 16.131 0.143
2457229.55223349 16.428 0.189
2456510.61628162 16.272 0.167
2457229.74547919 16.182 0.159
2456114.62605421 16.257 0.154
2456464.77626912 16.312 0.162
2455829.59314994 16.252 0.167
2456512.63053775 16.371 0.181
2455844.54941545 16.287 0.168
2456734.80947703 16.441 0.191
2456538.59069138 16.579 0.217
2456789.68879582 16.659 0.238
2456477.57984695 16.426 0.194
2456095.63274054 16.506 0.216
2456106.7700705 16.546 0.227
2456162.64197332 16.229 0.159
2456536.5384378 16.443 0.197
2456537.6098039 16.433 0.198
2456745.89754341 16.447 0.199
2456132.64440217 16.205 0.154
2456790.65793362 16.59 0.222
2456479.56274835 16.476 0.204
2456113.58834037 16.619 0.237
2456125.72347952 16.557 0.219
2456806.71366909 16.516 0.21
2455858.51018585 16.68 0.248
2456144.6836307 16.398 0.203
2456573.49646966 16.507 0.22
2457225.505621 16.576 0.231
2457273.56285804 16.511 0.218
2456510.48315386 16.639 0.26
