HJD mag emag
2455309.7589699 16.515 0.174
2455818.52390016 16.554 0.2
2456160.60001347 16.343 0.155
2456484.58745569 16.651 0.21
2456133.71639878 16.484 0.178
2456477.63061378 16.524 0.182
2456089.7007663 16.406 0.166
2456115.61282453 16.445 0.173
2455434.65834223 16.503 0.189
2456109.64102519 16.431 0.176
2456161.56627288 16.394 0.167
2456020.7677059 16.366 0.168
2456094.67810458 16.524 0.188
2456480.70307838 16.437 0.174
2456476.55561724 16.422 0.177
2455328.75649563 16.431 0.179
2456129.67719471 16.537 0.193
2456477.52743466 16.473 0.179
2456511.61833425 16.454 0.186
2456476.61999909 16.508 0.187
2456742.84715366 16.438 0.178
2456102.58549545 16.534 0.194
2456102.73475181 16.506 0.191
2456127.58678205 16.662 0.22
2456005.8355524 16.309 0.163
2456526.60220779 16.454 0.185
2457229.55223349 16.573 0.212
2456510.61628162 16.529 0.203
2457229.74547919 16.277 0.171
2456114.62605421 16.638 0.21
2456464.77626912 15.938 0.116
2455829.59314994 16.518 0.206
2456512.63053775 16.529 0.2
2455844.54941545 16.529 0.203
2456734.80947703 16.765 0.25
2456538.59069138 16.621 0.219
2456789.68879582 16.568 0.216
2456477.57984695 16.712 0.234
2456095.63274054 16.754 0.259
2456162.64197332 16.676 0.23
2456536.5384378 16.52 0.202
2456537.6098039 16.746 0.253
2456745.89754341 16.696 0.238
2456132.64440217 16.697 0.23
2456790.65793362 16.637 0.228
2456479.56274835 16.556 0.208
2456113.58834037 16.692 0.239
2456125.72347952 16.817 0.263
2456806.71366909 16.923 0.3
2455858.51018585 16.914 0.294
2456144.6836307 16.773 0.266
2456573.49646966 16.831 0.281
2457225.505621 16.667 0.255
2457273.56285804 16.386 0.194
2457242.60842835 16.406 0.253
