HJD mag emag
2455309.7589699 16.716 0.207
2455818.52390016 16.703 0.225
2456160.60001347 16.612 0.194
2456484.58745569 16.756 0.231
2456133.71639878 16.717 0.219
2456477.63061378 17.132 0.302
2456089.7007663 16.478 0.179
2456115.61282453 16.573 0.194
2455434.65834223 16.624 0.211
2456109.64102519 16.866 0.257
2456161.56627288 16.55 0.191
2456020.7677059 16.753 0.235
2456094.67810458 16.702 0.221
2456480.70307838 16.852 0.25
2456476.55561724 16.602 0.207
2455328.75649563 16.663 0.216
2456129.67719471 16.637 0.211
2456477.52743466 17.097 0.305
2456511.61833425 16.776 0.242
2456476.61999909 16.823 0.244
2456742.84715366 16.622 0.21
2456102.58549545 16.598 0.21
2456102.73475181 16.789 0.243
2456127.58678205 16.477 0.19
2456005.8355524 16.663 0.225
2456526.60220779 16.754 0.239
2457229.55223349 16.777 0.253
2456510.61628162 17.173 0.344
2457229.74547919 16.615 0.227
2456114.62605421 16.833 0.251
2456464.77626912 16.642 0.213
2455829.59314994 16.565 0.213
2456512.63053775 16.91 0.276
2455844.54941545 16.897 0.275
2456734.80947703 16.913 0.283
2456538.59069138 17.086 0.32
2456789.68879582 17.001 0.31
2456477.57984695 16.913 0.278
2456095.63274054 17.061 0.328
2456162.64197332 16.864 0.271
2456536.5384378 16.687 0.232
2456537.6098039 17.038 0.32
2456132.64440217 16.823 0.262
2456479.56274835 16.743 0.246
2456113.58834037 16.778 0.262
2456125.72347952 16.695 0.239
2455858.51018585 16.835 0.277
2456573.49646966 17.085 0.343
2457273.56285804 16.73 0.255
