HJD mag emag
2455309.7589699 14.981 0.045
2455818.52390016 14.867 0.045
2456160.60001347 14.92 0.044
2456484.58745569 14.896 0.045
2456133.71639878 14.942 0.046
2456477.63061378 14.963 0.046
2456089.7007663 14.862 0.043
2456115.61282453 14.865 0.043
2456109.64102519 14.852 0.044
2456161.56627288 14.878 0.045
2456020.7677059 14.932 0.048
2456094.67810458 14.891 0.046
2456480.70307838 14.932 0.046
2456476.55561724 14.986 0.05
2456129.67719471 14.926 0.047
2456477.52743466 14.946 0.048
2456511.61833425 14.954 0.049
2456476.61999909 14.87 0.045
2456742.84715366 14.987 0.05
2456102.58549545 14.896 0.047
2456102.73475181 14.911 0.046
2456127.58678205 14.96 0.05
2456005.8355524 14.997 0.053
2456526.60220779 14.937 0.049
2457229.55223349 14.923 0.051
2456510.61628162 14.905 0.048
2457229.74547919 14.985 0.056
2456114.62605421 14.921 0.049
2456464.77626912 14.899 0.047
2455829.59314994 14.894 0.051
2456512.63053775 14.907 0.049
2455844.54941545 14.911 0.05
2456734.80947703 14.948 0.053
2456538.59069138 14.95 0.053
2456789.68879582 14.994 0.056
2456477.57984695 14.97 0.052
2456095.63274054 14.892 0.046
2456106.7700705 14.989 0.052
2456162.64197332 14.924 0.05
2456536.5384378 14.945 0.052
2456537.6098039 15.012 0.056
2456745.89754341 14.978 0.053
2456132.64440217 14.936 0.05
2456790.65793362 14.962 0.055
2456479.56274835 15.046 0.058
2456113.58834037 14.926 0.051
2456125.72347952 14.93 0.055
2455794.69893252 14.905 0.05
2456806.71366909 14.946 0.058
2455858.51018585 14.885 0.05
2456144.6836307 14.923 0.055
2456573.49646966 14.982 0.056
2456804.7066316 14.999 0.057
2457273.56285804 15.007 0.06
2455834.55712109 14.952 0.067
2456479.79998416 15.016 0.065
2456536.58374851 14.975 0.061
2456146.70396897 14.922 0.052
2456424.88940529 14.956 0.061
2456479.70592536 15 0.058
2457272.58666747 14.993 0.068
