HJD mag emag
2455309.7589699 16.255 0.138
2455818.52390016 15.967 0.12
2456160.60001347 16.151 0.132
2456484.58745569 16.201 0.145
2456133.71639878 16.134 0.133
2456477.63061378 16.239 0.143
2456089.7007663 16.183 0.141
2456115.61282453 16.291 0.152
2456109.64102519 16.222 0.149
2456161.56627288 16.227 0.149
2456094.67810458 16.28 0.157
2456480.70307838 16.26 0.149
2456476.55561724 16.121 0.138
2455328.75649563 16.175 0.144
2456129.67719471 16.099 0.132
2456477.52743466 16.233 0.152
2456511.61833425 16.318 0.165
2456476.61999909 16.369 0.17
2456742.84715366 16.257 0.157
2456102.58549545 16.314 0.166
2456102.73475181 16.203 0.149
2456127.58678205 16.316 0.168
2456005.8355524 16.193 0.151
2456526.60220779 16.29 0.162
2457229.55223349 16.28 0.169
2456510.61628162 16.253 0.16
2457229.74547919 16.375 0.189
2456114.62605421 16.202 0.147
2456464.77626912 16.217 0.151
2455829.59314994 16.304 0.174
2456512.63053775 16.258 0.162
2456734.80947703 16.161 0.156
2456538.59069138 16.312 0.172
2456789.68879582 16.234 0.167
2456477.57984695 16.263 0.164
2456095.63274054 16.502 0.207
2456106.7700705 16.144 0.147
2456162.64197332 16.164 0.152
2456536.5384378 16.359 0.182
2456537.6098039 16.251 0.166
2456745.89754341 16.358 0.181
2456132.64440217 16.232 0.158
2456790.65793362 16.462 0.201
2456479.56274835 16.262 0.171
2456113.58834037 16.409 0.193
2456125.72347952 16.239 0.174
2455794.69893252 16.16 0.154
2456806.71366909 16.338 0.186
2455858.51018585 16.303 0.177
2456144.6836307 16.306 0.194
2456573.49646966 16.254 0.176
2456804.7066316 16.429 0.223
2457225.505621 16.438 0.205
2457273.56285804 16.293 0.195
2456479.79998416 16.364 0.203
2456536.58374851 16.449 0.239
2456510.48315386 16.373 0.224
