HJD mag emag
2455309.7589699 14.572 0.032
2455818.52390016 14.519 0.034
2456160.60001347 14.525 0.031
2456484.58745569 14.552 0.034
2456133.71639878 14.486 0.031
2456477.63061378 14.568 0.034
2456089.7007663 14.524 0.032
2456115.61282453 14.542 0.033
2455434.65834223 14.511 0.033
2456109.64102519 14.533 0.034
2456161.56627288 14.54 0.033
2456020.7677059 14.567 0.035
2456094.67810458 14.532 0.034
2456480.70307838 14.6 0.035
2456476.55561724 14.543 0.035
2455328.75649563 14.542 0.034
2456129.67719471 14.556 0.034
2456477.52743466 14.566 0.035
2456511.61833425 14.56 0.035
2456476.61999909 14.56 0.036
2456742.84715366 14.533 0.035
2456102.58549545 14.52 0.034
2456102.73475181 14.528 0.035
2456127.58678205 14.548 0.035
2456005.8355524 14.535 0.035
2456526.60220779 14.564 0.036
2457229.55223349 14.541 0.036
2456510.61628162 14.58 0.037
2456114.62605421 14.533 0.033
2456464.77626912 14.551 0.035
2455829.59314994 14.555 0.038
2456512.63053775 14.567 0.037
2455844.54941545 14.524 0.035
2456734.80947703 14.603 0.039
2456538.59069138 14.563 0.037
2456789.68879582 14.611 0.039
2456477.57984695 14.599 0.038
2456106.7700705 14.567 0.037
2456162.64197332 14.628 0.039
2456536.5384378 14.6 0.038
2456745.89754341 14.634 0.041
2456132.64440217 14.58 0.037
2456790.65793362 14.601 0.039
2456113.58834037 14.576 0.039
2455794.69893252 14.551 0.038
2456806.71366909 14.565 0.037
2455858.51018585 14.57 0.04
2456144.6836307 14.601 0.043
2456573.49646966 14.612 0.044
2456804.7066316 14.538 0.049
2457225.505621 14.595 0.04
2457242.60842835 14.738 0.058
2455834.55712109 14.551 0.047
2456479.79998416 14.615 0.043
2456510.48315386 14.667 0.05
2456146.70396897 14.538 0.049
2456424.88940529 14.668 0.057
2456479.70592536 14.64 0.044
2456563.57868992 14.67 0.055
