HJD mag emag
2455309.7589699 14.753 0.037
2455818.52390016 14.647 0.038
2456160.60001347 14.68 0.036
2456484.58745569 14.638 0.038
2456477.63061378 14.626 0.035
2456089.7007663 14.667 0.037
2456115.61282453 14.641 0.036
2456109.64102519 14.661 0.038
2456161.56627288 14.659 0.038
2456094.67810458 14.611 0.037
2456476.55561724 14.648 0.038
2455328.75649563 14.715 0.04
2456129.67719471 14.668 0.038
2456477.52743466 14.649 0.037
2456742.84715366 14.642 0.037
2456102.73475181 14.658 0.038
2456127.58678205 14.678 0.04
2456005.8355524 14.756 0.043
2456526.60220779 14.705 0.04
2457229.55223349 14.59 0.039
2457229.74547919 14.633 0.041
2456114.62605421 14.653 0.039
2456464.77626912 14.739 0.041
2455829.59314994 14.731 0.044
2455844.54941545 14.765 0.045
2456734.80947703 14.65 0.042
2456789.68879582 14.652 0.042
2456477.57984695 14.639 0.04
2456095.63274054 14.592 0.039
2456106.7700705 14.743 0.048
2456162.64197332 14.692 0.043
2456536.5384378 14.64 0.04
2456537.6098039 14.668 0.042
2456745.89754341 14.652 0.041
2456132.64440217 14.64 0.039
2456790.65793362 14.693 0.044
2456479.56274835 14.66 0.04
2456113.58834037 14.668 0.042
2456125.72347952 14.695 0.042
2455794.69893252 14.708 0.045
2456806.71366909 14.657 0.044
2455858.51018585 14.679 0.043
2456144.6836307 14.67 0.046
2457225.505621 14.659 0.047
2457273.56285804 14.762 0.047
2457242.60842835 14.42 0.046
2455834.55712109 14.754 0.051
2456479.79998416 14.676 0.047
2456536.58374851 14.743 0.052
2456510.48315386 14.703 0.05
2456146.70396897 14.733 0.063
2457272.58666747 14.727 0.056
