HJD mag emag
2455309.7589699 16.066 0.117
2455818.52390016 15.817 0.105
2456160.60001347 15.95 0.109
2456484.58745569 15.774 0.098
2456133.71639878 15.85 0.103
2456477.63061378 15.847 0.101
2456089.7007663 15.909 0.109
2456115.61282453 15.877 0.106
2455434.65834223 15.963 0.119
2456109.64102519 15.933 0.115
2456161.56627288 16.002 0.121
2456020.7677059 15.789 0.102
2456094.67810458 15.884 0.11
2456480.70307838 15.923 0.11
2456476.55561724 15.921 0.115
2455328.75649563 15.838 0.107
2456129.67719471 15.826 0.103
2456477.52743466 16.03 0.126
2456511.61833425 15.875 0.11
2456476.61999909 15.908 0.113
2456742.84715366 15.87 0.112
2456102.58549545 15.902 0.115
2456102.73475181 15.887 0.113
2456127.58678205 15.89 0.114
2456005.8355524 15.895 0.116
2456526.60220779 15.937 0.119
2457229.55223349 15.909 0.121
2456510.61628162 15.948 0.121
2457229.74547919 16.119 0.151
2456114.62605421 16.091 0.134
2456464.77626912 15.931 0.116
2455829.59314994 15.982 0.13
2456512.63053775 16.103 0.141
2455844.54941545 15.877 0.115
2456734.80947703 15.903 0.123
2456538.59069138 15.841 0.114
2456789.68879582 15.988 0.132
2456477.57984695 15.989 0.127
2456095.63274054 16.111 0.147
2456106.7700705 16.058 0.136
2456162.64197332 16.067 0.138
2456536.5384378 15.987 0.131
2456537.6098039 15.991 0.131
2456745.89754341 16.112 0.146
2456132.64440217 16.002 0.131
2456790.65793362 15.999 0.134
2456479.56274835 16.06 0.141
2456113.58834037 16.018 0.137
2456125.72347952 15.984 0.138
2455794.69893252 16.093 0.144
2456806.71366909 16.099 0.15
2455858.51018585 16.357 0.187
2456144.6836307 16.418 0.208
2456573.49646966 16.129 0.156
2456804.7066316 15.901 0.142
2457225.505621 15.969 0.135
2457273.56285804 16.07 0.158
2457242.60842835 16.196 0.207
2455834.55712109 16.195 0.187
2456479.79998416 16.099 0.158
2456536.58374851 16.344 0.216
2456510.48315386 16.332 0.209
2456146.70396897 16.144 0.179
2456479.70592536 16.083 0.151
