HJD mag emag
2455309.7589699 15.506 0.073
2455818.52390016 15.485 0.081
2456160.60001347 15.436 0.071
2456484.58745569 15.379 0.071
2456133.71639878 15.432 0.072
2456477.63061378 15.461 0.073
2456089.7007663 15.412 0.072
2456115.61282453 15.422 0.071
2455434.65834223 15.46 0.077
2456109.64102519 15.454 0.076
2456161.56627288 15.437 0.074
2456020.7677059 15.489 0.08
2456094.67810458 15.481 0.079
2456480.70307838 15.46 0.075
2456476.55561724 15.471 0.079
2455328.75649563 15.448 0.078
2456129.67719471 15.486 0.078
2456477.52743466 15.44 0.075
2456511.61833425 15.451 0.078
2456476.61999909 15.447 0.082
2456742.84715366 15.547 0.084
2456102.58549545 15.527 0.083
2456102.73475181 15.46 0.078
2456127.58678205 15.466 0.078
2456005.8355524 15.488 0.082
2456526.60220779 15.516 0.084
2457229.55223349 15.443 0.081
2456510.61628162 15.497 0.085
2457229.74547919 15.577 0.095
2456114.62605421 15.477 0.081
2456464.77626912 15.477 0.08
2455829.59314994 15.515 0.089
2456512.63053775 15.473 0.083
2456734.80947703 15.496 0.085
2456538.59069138 15.431 0.083
2456477.57984695 15.462 0.081
2456095.63274054 15.505 0.082
2456106.7700705 15.449 0.08
2456162.64197332 15.493 0.086
2456536.5384378 15.575 0.092
2456537.6098039 15.528 0.089
2456745.89754341 15.47 0.085
2456132.64440217 15.501 0.085
2456790.65793362 15.525 0.089
2456479.56274835 15.426 0.086
2456113.58834037 15.515 0.088
2456125.72347952 15.629 0.103
2455794.69893252 15.438 0.082
2456806.71366909 15.53 0.094
2455858.51018585 15.501 0.089
2456144.6836307 15.555 0.101
2456573.49646966 15.505 0.092
2456804.7066316 15.549 0.095
2457273.56285804 15.479 0.092
2456479.79998416 15.582 0.112
2456536.58374851 15.583 0.11
2456510.48315386 15.558 0.106
2456146.70396897 15.553 0.097
2456424.88940529 15.612 0.11
2456479.70592536 15.577 0.104
2457272.58666747 15.563 0.118
