HJD mag emag
2455309.7589699 15.152 0.052
2455818.52390016 14.999 0.051
2456160.60001347 15.05 0.05
2456484.58745569 15.076 0.053
2456133.71639878 15.068 0.051
2456477.63061378 15.027 0.048
2456089.7007663 15.071 0.052
2456115.61282453 15.105 0.054
2455434.65834223 15.013 0.051
2456109.64102519 15.042 0.053
2456161.56627288 15.068 0.052
2456020.7677059 15.077 0.055
2456094.67810458 15.111 0.056
2456480.70307838 15.055 0.052
2456476.55561724 15.089 0.055
2455328.75649563 15.061 0.053
2456129.67719471 15.045 0.052
2456477.52743466 15.035 0.051
2456511.61833425 15.054 0.054
2456476.61999909 15.061 0.052
2456742.84715366 15.047 0.053
2456102.58549545 15.05 0.054
2456102.73475181 15.051 0.054
2456127.58678205 15.084 0.056
2456005.8355524 15.113 0.058
2456526.60220779 15.097 0.056
2457229.55223349 15.081 0.059
2456510.61628162 15.04 0.055
2457229.74547919 15.071 0.059
2456114.62605421 15.101 0.055
2456464.77626912 15.049 0.053
2455829.59314994 15.117 0.06
2456512.63053775 15.09 0.057
2455844.54941545 15.151 0.062
2456734.80947703 15.06 0.058
2456538.59069138 15.077 0.057
2456789.68879582 15.044 0.057
2456477.57984695 15.117 0.059
2456095.63274054 15.104 0.061
2456162.64197332 15.096 0.059
2456536.5384378 15.119 0.06
2456537.6098039 15.16 0.064
2456132.64440217 15.07 0.056
2456479.56274835 15.07 0.058
2456125.72347952 15.057 0.057
2455858.51018585 15.14 0.065
2456804.7066316 15.234 0.118
