HJD mag emag
2455309.7589699 16.731 0.212
2455818.52390016 16.775 0.242
2456160.60001347 16.67 0.206
2456484.58745569 16.682 0.219
2456133.71639878 16.575 0.196
2456477.63061378 16.694 0.217
2456089.7007663 16.732 0.224
2456115.61282453 16.598 0.2
2455434.65834223 16.593 0.205
2456109.64102519 16.599 0.207
2456161.56627288 16.652 0.213
2456020.7677059 16.588 0.208
2456094.67810458 16.535 0.197
2456480.70307838 16.535 0.192
2456476.55561724 17.01 0.298
2456129.67719471 16.558 0.198
2456511.61833425 16.787 0.247
2456476.61999909 16.738 0.246
2456742.84715366 16.663 0.223
2456102.58549545 16.62 0.214
2456102.73475181 16.643 0.221
2456127.58678205 16.714 0.234
2456005.8355524 16.652 0.224
2456526.60220779 16.992 0.294
2457229.55223349 16.909 0.281
2456510.61628162 17.016 0.305
2457229.74547919 17.026 0.321
2456114.62605421 16.939 0.274
2455829.59314994 16.971 0.304
2456512.63053775 16.898 0.281
2456734.80947703 16.894 0.287
2456538.59069138 16.881 0.276
2456789.68879582 16.799 0.261
2456477.57984695 17.001 0.301
2456095.63274054 17.083 0.335
2456162.64197332 16.785 0.259
2456536.5384378 17.049 0.317
2456537.6098039 17.186 0.36
2456132.64440217 16.986 0.304
2455858.51018585 16.885 0.289
