HJD mag emag
2455309.7589699 14.844 0.04
2455818.52390016 14.8 0.043
2456160.60001347 14.815 0.041
2456133.71639878 14.852 0.043
2456089.7007663 14.879 0.044
2456115.61282453 14.842 0.042
2455434.65834223 14.857 0.045
2456161.56627288 14.885 0.046
2456020.7677059 14.824 0.044
2456094.67810458 14.835 0.044
2456480.70307838 14.843 0.043
2456476.55561724 14.873 0.046
2455328.75649563 14.857 0.045
2456129.67719471 14.875 0.045
2456477.52743466 14.876 0.046
2456511.61833425 14.817 0.044
2456476.61999909 14.844 0.045
2456742.84715366 14.87 0.046
2456102.58549545 14.857 0.045
2456127.58678205 14.855 0.046
2456005.8355524 14.866 0.046
2457229.55223349 14.837 0.047
2457229.74547919 14.904 0.052
2456114.62605421 14.878 0.046
2455829.59314994 14.876 0.05
2456477.57984695 14.899 0.049
2456095.63274054 14.867 0.048
2456162.64197332 14.888 0.049
2456536.5384378 14.905 0.05
2456537.6098039 14.876 0.049
2456745.89754341 14.965 0.054
2456132.64440217 14.876 0.048
2456790.65793362 14.91 0.051
2456479.56274835 14.921 0.052
2456113.58834037 14.928 0.052
2456125.72347952 15.035 0.06
2456806.71366909 14.932 0.054
2455858.51018585 14.96 0.055
2456144.6836307 14.869 0.054
2456804.7066316 14.952 0.062
2457242.60842835 15.205 0.088
2455834.55712109 14.996 0.069
2456479.79998416 14.897 0.057
2456536.58374851 14.984 0.066
2456510.48315386 14.983 0.064
2456146.70396897 14.959 0.062
2456424.88940529 15.05 0.074
2457272.58666747 15.07 0.076
2456563.57868992 14.992 0.074
