HJD mag emag
2455309.7589699 15.228 0.056
2455818.52390016 15.237 0.063
2456160.60001347 15.212 0.058
2456484.58745569 15.185 0.059
2456133.71639878 15.226 0.06
2456477.63061378 15.214 0.058
2456089.7007663 15.209 0.059
2456115.61282453 15.212 0.059
2455434.65834223 15.211 0.061
2456109.64102519 15.229 0.062
2456161.56627288 15.198 0.06
2456020.7677059 15.209 0.062
2456094.67810458 15.221 0.062
2456480.70307838 15.215 0.06
2456476.55561724 15.22 0.063
2455328.75649563 15.231 0.063
2456129.67719471 15.219 0.061
2456477.52743466 15.252 0.064
2456511.61833425 15.27 0.066
2456476.61999909 15.242 0.063
2456742.84715366 15.228 0.063
2456102.58549545 15.185 0.06
2456102.73475181 15.243 0.064
2456127.58678205 15.245 0.065
2456005.8355524 15.197 0.062
2456526.60220779 15.362 0.073
2457229.55223349 15.225 0.066
2456510.61628162 15.219 0.065
2457229.74547919 15.324 0.075
2456114.62605421 15.325 0.069
2456464.77626912 15.26 0.065
2455829.59314994 15.341 0.075
2456512.63053775 15.335 0.073
2455844.54941545 15.216 0.064
2456734.80947703 15.246 0.069
2456538.59069138 15.291 0.071
2456789.68879582 15.253 0.069
2456477.57984695 15.25 0.068
2456095.63274054 15.163 0.062
2456106.7700705 15.268 0.067
2456162.64197332 15.242 0.067
2456536.5384378 15.263 0.069
2456537.6098039 15.262 0.069
2456745.89754341 15.343 0.076
2456132.64440217 15.257 0.067
2456790.65793362 15.305 0.073
2456479.56274835 15.222 0.069
2456113.58834037 15.253 0.07
2456125.72347952 15.29 0.075
2455794.69893252 15.326 0.074
2456806.71366909 15.296 0.075
2455858.51018585 15.255 0.072
2456144.6836307 15.346 0.082
2456573.49646966 15.237 0.073
2456804.7066316 15.225 0.078
2457225.505621 15.265 0.073
2457273.56285804 15.227 0.072
2456479.79998416 15.35 0.086
2456536.58374851 15.31 0.087
2456510.48315386 15.305 0.085
2456146.70396897 15.287 0.083
2456479.70592536 15.309 0.077
2457272.58666747 15.193 0.085
