HJD mag emag
2455309.7589699 16.586 0.186
2456160.60001347 16.464 0.173
2456484.58745569 16.51 0.187
2456133.71639878 16.372 0.162
2456477.63061378 16.523 0.183
2456089.7007663 16.387 0.163
2456115.61282453 16.481 0.178
2456109.64102519 16.524 0.191
2456161.56627288 16.417 0.173
2456094.67810458 16.442 0.176
2456480.70307838 16.521 0.189
2456476.55561724 16.472 0.185
2455328.75649563 16.502 0.189
2456129.67719471 16.519 0.189
2456477.52743466 16.442 0.177
2456511.61833425 16.428 0.181
2456476.61999909 16.652 0.211
2456742.84715366 16.498 0.187
2456102.58549545 16.577 0.202
2456102.73475181 16.647 0.215
2456127.58678205 16.482 0.19
2456526.60220779 16.546 0.201
2457229.55223349 16.501 0.2
2456510.61628162 16.555 0.207
2457229.74547919 16.336 0.18
2456114.62605421 16.746 0.23
2456464.77626912 16.646 0.212
2455829.59314994 16.65 0.231
2456512.63053775 16.744 0.241
2456734.80947703 16.464 0.194
2456538.59069138 16.542 0.207
2456789.68879582 16.734 0.248
2456477.57984695 16.744 0.246
2456162.64197332 16.678 0.231
2456536.5384378 16.646 0.225
2456537.6098039 16.87 0.277
2456132.64440217 16.755 0.241
2456790.65793362 16.701 0.24
2456479.56274835 16.752 0.246
2456113.58834037 16.723 0.246
2456125.72347952 16.813 0.265
2456806.71366909 16.861 0.279
2456573.49646966 16.833 0.282
