HJD mag emag
2455309.7589699 15.586 0.079
2455818.52390016 15.542 0.083
2456160.60001347 15.56 0.079
2456484.58745569 15.585 0.084
2456133.71639878 15.766 0.098
2456477.63061378 15.605 0.084
2456089.7007663 15.633 0.087
2456115.61282453 15.505 0.078
2455434.65834223 15.788 0.103
2456109.64102519 15.584 0.086
2456161.56627288 16.16 0.139
2456020.7677059 15.841 0.11
2456094.67810458 15.805 0.104
2456480.70307838 15.637 0.088
2456476.55561724 16.017 0.128
2455328.75649563 15.538 0.083
2456129.67719471 15.587 0.085
2456477.52743466 15.633 0.091
2456511.61833425 15.761 0.102
2456476.61999909 16.468 0.196
2456742.84715366 15.986 0.125
2456102.58549545 15.826 0.11
2456102.73475181 15.591 0.089
2456127.58678205 16.267 0.162
2456005.8355524 16.448 0.188
2456526.60220779 15.702 0.099
2457229.55223349 15.551 0.09
2456510.61628162 16.079 0.139
2457229.74547919 15.664 0.103
2456114.62605421 15.625 0.091
2456464.77626912 15.652 0.093
2455829.59314994 15.643 0.099
2456512.63053775 15.685 0.099
2455844.54941545 15.577 0.09
2456734.80947703 15.708 0.106
2456538.59069138 15.666 0.097
2456789.68879582 15.667 0.099
2456477.57984695 15.645 0.096
2456095.63274054 15.628 0.1
2456106.7700705 15.655 0.097
2456162.64197332 16.035 0.137
2456536.5384378 15.705 0.103
2456537.6098039 15.623 0.097
2456745.89754341 15.788 0.115
2456132.64440217 16.104 0.147
2456790.65793362 15.718 0.105
2456479.56274835 15.677 0.108
2456113.58834037 15.792 0.116
2456125.72347952 15.746 0.111
2455794.69893252 15.834 0.122
2456806.71366909 16.075 0.14
2455858.51018585 15.748 0.113
2456144.6836307 15.48 0.097
2456573.49646966 15.644 0.107
2456804.7066316 15.548 0.11
2457225.505621 15.614 0.1
2457273.56285804 15.674 0.117
2457242.60842835 15.948 0.169
2455834.55712109 15.705 0.13
2456479.79998416 15.8 0.129
2456536.58374851 15.998 0.172
2456146.70396897 15.801 0.148
2456424.88940529 16.034 0.184
2456479.70592536 15.811 0.128
2456563.57868992 15.976 0.166
