HJD mag emag
2455309.7589699 16.268 0.138
2455818.52390016 16.045 0.127
2456160.60001347 16.199 0.136
2456484.58745569 16.234 0.145
2456133.71639878 16.302 0.151
2456477.63061378 16.209 0.136
2456089.7007663 16.348 0.16
2456115.61282453 16.171 0.135
2455434.65834223 16.166 0.141
2456109.64102519 16.144 0.138
2456161.56627288 16.236 0.147
2456020.7677059 16.185 0.143
2456094.67810458 16.034 0.125
2456480.70307838 16.452 0.172
2456476.55561724 16.47 0.183
2455328.75649563 16.065 0.129
2456129.67719471 16.209 0.143
2456477.52743466 16.267 0.152
2456511.61833425 16.323 0.163
2456476.61999909 16.456 0.191
2456742.84715366 16.189 0.145
2456102.58549545 16.211 0.149
2456102.73475181 16.208 0.146
2456127.58678205 16.181 0.148
2456005.8355524 16.232 0.156
2456526.60220779 16.109 0.137
2457229.55223349 16.174 0.153
2456510.61628162 16.216 0.153
2457229.74547919 16.187 0.159
2456114.62605421 16.275 0.158
2456464.77626912 16.213 0.151
2455829.59314994 16.234 0.162
2456512.63053775 16.229 0.154
2455844.54941545 16.258 0.16
2456734.80947703 16.245 0.163
2456538.59069138 16.342 0.175
2456789.68879582 16.397 0.187
2456477.57984695 16.27 0.158
2456095.63274054 16.184 0.146
2456106.7700705 16.286 0.162
2456162.64197332 16.599 0.219
2456536.5384378 16.295 0.169
2456537.6098039 16.435 0.19
2456745.89754341 16.197 0.156
2456132.64440217 16.43 0.186
2456790.65793362 16.335 0.178
2456479.56274835 16.695 0.255
2456113.58834037 16.295 0.168
2456125.72347952 16.486 0.212
2455794.69893252 16.239 0.162
2456806.71366909 16.551 0.218
2455858.51018585 16.372 0.186
2456144.6836307 16.409 0.207
2456573.49646966 16.251 0.171
2456804.7066316 16.375 0.189
2457225.505621 16.419 0.205
2457273.56285804 16.234 0.186
2457242.60842835 16.49 0.261
2455834.55712109 16.441 0.22
2456479.79998416 16.561 0.247
2456536.58374851 16.517 0.242
2456510.48315386 16.651 0.266
2456146.70396897 16.56 0.23
2456424.88940529 16.368 0.202
2456479.70592536 16.397 0.204
2456563.57868992 16.661 0.284
