HJD mag emag
2455309.7589699 16.002 0.113
2455818.52390016 15.963 0.121
2456160.60001347 15.895 0.107
2456484.58745569 16.03 0.126
2456133.71639878 16.041 0.124
2456477.63061378 16.023 0.12
2456089.7007663 15.943 0.113
2456115.61282453 15.974 0.117
2455434.65834223 15.877 0.111
2456109.64102519 15.936 0.118
2456161.56627288 15.936 0.116
2456020.7677059 16.138 0.141
2456094.67810458 15.974 0.121
2456480.70307838 15.933 0.113
2456476.55561724 15.975 0.124
2455328.75649563 15.951 0.12
2456129.67719471 15.989 0.121
2456477.52743466 16.037 0.128
2456511.61833425 16.027 0.129
2456476.61999909 16.136 0.15
2456742.84715366 15.931 0.118
2456102.58549545 15.958 0.121
2456102.73475181 15.98 0.125
2456127.58678205 15.951 0.121
2456005.8355524 16.029 0.13
2456526.60220779 15.917 0.119
2457229.55223349 15.907 0.121
2456510.61628162 15.995 0.13
2457229.74547919 16.019 0.138
2456114.62605421 15.987 0.123
2456464.77626912 15.919 0.118
2455829.59314994 15.977 0.133
2456512.63053775 16.162 0.152
2455844.54941545 15.92 0.123
2456734.80947703 16.037 0.138
2456538.59069138 16.187 0.155
2456789.68879582 16.003 0.134
2456477.57984695 15.988 0.129
2456095.63274054 16.18 0.156
2456106.7700705 16.081 0.138
2456162.64197332 16.033 0.138
2456536.5384378 16.158 0.15
2456537.6098039 16.024 0.137
2456745.89754341 16.199 0.165
2456132.64440217 15.992 0.13
2456790.65793362 16.145 0.152
2456479.56274835 16.058 0.152
2456113.58834037 16.214 0.163
2456125.72347952 16.329 0.187
2455794.69893252 16.157 0.159
2456806.71366909 16.134 0.149
2455858.51018585 16.035 0.142
2456144.6836307 16.49 0.228
2456573.49646966 16.119 0.162
2456804.7066316 16.053 0.164
2457225.505621 16.038 0.145
2457273.56285804 16.188 0.169
2457242.60842835 16.412 0.243
2455834.55712109 16.333 0.219
2456479.79998416 16.17 0.182
2456536.58374851 16.431 0.237
2456510.48315386 16.183 0.183
2456424.88940529 16.289 0.214
2456479.70592536 16.298 0.198
