HJD mag emag
2455309.7589699 16.278 0.144
2455818.52390016 16.272 0.16
2456160.60001347 16.175 0.136
2456484.58745569 16.294 0.157
2456133.71639878 16.023 0.121
2456477.63061378 16.207 0.141
2456089.7007663 16.108 0.132
2456115.61282453 16.136 0.133
2455434.65834223 16.119 0.137
2456109.64102519 16.2 0.146
2456161.56627288 16.285 0.156
2456020.7677059 16.187 0.147
2456476.55561724 16.311 0.165
2455328.75649563 16.123 0.14
2456129.67719471 16.115 0.135
2456477.52743466 16.344 0.166
2456511.61833425 16.213 0.152
2456476.61999909 16.391 0.182
2456742.84715366 16.422 0.181
2456102.58549545 16.271 0.158
2456102.73475181 16.284 0.161
2456127.58678205 16.265 0.158
2456005.8355524 16.237 0.158
2456526.60220779 16.215 0.156
2457229.55223349 16.334 0.176
2456510.61628162 16.374 0.181
2457229.74547919 16.432 0.198
2456114.62605421 16.352 0.171
2456464.77626912 16.292 0.162
2455829.59314994 16.013 0.138
2456512.63053775 16.49 0.2
2455844.54941545 15.993 0.131
2456734.80947703 16.345 0.178
2456538.59069138 16.329 0.179
2456789.68879582 16.376 0.189
2456477.57984695 16.428 0.188
2456095.63274054 16.374 0.181
2456106.7700705 16.37 0.178
2456162.64197332 16.32 0.175
2456536.5384378 16.483 0.202
2456745.89754341 16.638 0.233
2456132.64440217 16.36 0.178
2456790.65793362 16.605 0.226
2456479.56274835 16.578 0.233
2456113.58834037 16.392 0.188
2456125.72347952 16.416 0.202
2455794.69893252 16.307 0.177
2456806.71366909 16.589 0.229
2455858.51018585 16.099 0.151
2456144.6836307 16.486 0.225
2456573.49646966 16.429 0.206
2456479.70592536 16.496 0.228
